Rank,Team,GM,W-L,Opp TO,TO,Ratio
285,Tennessee (SEC),33,20-13,368,425,-1.7
145,Texas A&M (SEC),33,18-15,455,438,0.5
198,Texas Southern (SWAC),31,17-14,360,367,-0.2
110,Texas St. (WAC),34,12-22,507,469,1.1
189,Texas Tech (Big 12),31,11-20,452,456,-0.1
280,Texas (Big 12),34,16-18,445,500,-1.6
322,The Citadel (SoCon),30,8-22,372,465,-3.1
51,Toledo (MAC),28,15-13,402,336,2.4
335,Towson (CAA),31,18-13,340,460,-3.9
72,Troy (Sun Belt),33,12-21,401,345,1.7
114,Tulane (C-USA),35,20-15,468,430,1.1
279,Tulsa (C-USA),33,17-16,431,484,-1.6
145,UAB (C-USA),33,16-17,527,510,0.5
328,UC Davis (Big West),31,14-17,328,434,-3.4
273,UC Irvine (Big West),37,21-16,407,461,-1.5
315,UC Riverside (Big West),31,6-25,366,453,-2.8
311,UC Santa Barbara (Big West),31,11-20,365,447,-2.6
245,UCF (C-USA),31,20-11,394,427,-1.1
26,UCLA (Pac-12),35,25-10,491,391,2.9
94,UConn (AAC),30,20-10,406,367,1.3
164,UIC (Horizon),34,18-16,431,423,0.2
274,ULM (Sun Belt),27,4-23,399,439,-1.5
217,UMBC (America East),31,8-23,435,455,-0.6
269,UMES (MEAC),28,2-26,390,429,-1.4
183,UNC Asheville (Big South),32,16-16,464,465,0
95,UNC Greensboro (SoCon),31,9-22,433,393,1.3
299,UNCW (CAA),30,10-20,360,428,-2.3
133,UNI (MVC),36,21-15,458,432,0.7
236,UNLV (Mountain West),35,25-10,454,487,-0.9
145,USC Upstate (ASUN),33,16-17,462,445,0.5
145,UT Arlington (WAC),33,19-14,503,486,0.5
227,UT Martin (OVC),30,9-21,425,452,-0.9
331,Utah St. (WAC),31,21-10,294,408,-3.7
183,Utah Valley (GWC),32,14-18,389,390,0
293,Utah (Pac-12),33,15-18,358,425,-2
118,UTRGV (GWC),32,16-16,491,459,1
187,UTSA (WAC),32,10-22,427,431,-0.1
260,Valparaiso (Horizon),34,26-8,441,486,-1.3
215,Vanderbilt (SEC),33,16-17,378,398,-0.6
1,VCU (Atlantic 10),36,27-9,709,420,8
209,Villanova (AAC),34,20-14,518,533,-0.4
266,Virginia Tech (ACC),32,13-19,341,385,-1.4
68,Virginia (ACC),35,23-12,451,391,1.7
95,VMI (Big South),31,14-17,450,410,1.3
174,Wagner (NEC),31,19-12,476,472,0.1
189,Wake Forest (ACC),31,13-18,441,445,-0.1
173,Washington St. (Pac-12),32,13-19,390,385,0.2
234,Washington (Pac-12),34,18-16,417,449,-0.9
243,Weber St. (Big Sky),37,30-7,418,457,-1.1
92,West Virginia (Big 12),32,13-19,459,417,1.3
109,Western Caro. (SoCon),33,14-19,466,429,1.1
140,Western Ill. (Summit League),31,22-9,370,352,0.6
231,Western Ky. (Sun Belt),36,20-16,504,537,-0.9
286,Western Mich. (MAC),35,22-13,449,510,-1.7
158,Wichita St. (MVC),39,30-9,505,492,0.3
302,William & Mary (CAA),30,13-17,318,391,-2.4
267,Winthrop (Big South),31,14-17,360,403,-1.4
87,Wisconsin (Big Ten),35,23-12,392,342,1.4
92,Wofford (SoCon),32,13-19,455,413,1.3
29,Wright St. (Horizon),36,23-13,569,467,2.8
62,Wyoming (Mountain West),34,20-14,451,387,1.9
248,Xavier (Atlantic 10),31,17-14,367,402,-1.1
224,Yale (Ivy League),31,14-17,415,442,-0.9
82,Youngstown St. (Horizon),34,18-16,452,398,1.6
