Rank,Team,GM,W-L,PTS,PPG
67,Drake (MVC),32,15-17,"2,296",71.8
276,Drexel (CAA),31,13-18,"1,953",63
11,Duke (ACC),36,30-6,"2,778",77.2
163,Duquesne (Atlantic 10),30,8-22,"2,028",67.6
18,East Carolina (C-USA),35,23-12,"2,679",76.5
314,Eastern Ill. (OVC),32,11-21,"1,933",60.4
36,Eastern Ky. (OVC),35,25-10,"2,586",73.9
338,Eastern Mich. (MAC),34,16-18,"1,926",56.6
122,Eastern Wash. (Big Sky),31,10-21,"2,146",69.2
136,Elon (SoCon),33,21-12,"2,273",68.9
288,ETSU (ASUN),32,10-22,"1,994",62.3
124,Evansville (MVC),36,21-15,"2,490",69.2
309,Fairfield (MAAC),35,19-16,"2,122",60.6
219,Fairleigh Dickinson (NEC),31,7-24,"2,034",65.6
51,FGCU (ASUN),37,26-11,"2,696",72.9
129,FIU (Sun Belt),32,18-14,"2,210",69.1
225,Fla. Atlantic (Sun Belt),32,14-18,"2,092",65.4
232,Florida A&M (MEAC),31,8-23,"2,015",65
184,Florida St. (ACC),34,18-16,"2,278",67
75,Florida (SEC),37,29-8,"2,642",71.4
248,Fordham (Atlantic 10),31,7-24,"1,997",64.4
325,Fresno St. (Mountain West),30,11-19,"1,798",59.9
316,Furman (SoCon),31,7-24,"1,869",60.3
292,Ga. Southern (SoCon),33,14-19,"2,050",62.1
215,Gardner-Webb (Big South),34,21-13,"2,236",65.8
152,George Mason (CAA),38,22-16,"2,587",68.1
203,George Washington (Atlantic 10),30,13-17,"1,988",66.3
245,Georgetown (AAC),32,25-7,"2,070",64.7
150,Georgia St. (CAA),31,15-16,"2,114",68.2
254,Georgia Tech (ACC),31,16-15,"1,993",64.3
307,Georgia (SEC),32,15-17,"1,946",60.8
13,Gonzaga (WCC),35,32-3,"2,696",77
345,Grambling (SWAC),28,0-28,"1,391",49.7
211,Green Bay (Horizon),34,18-16,"2,247",66.1
285,Hampton (MEAC),31,14-17,"1,936",62.5
320,Hartford (America East),31,17-14,"1,863",60.1
148,Harvard (Ivy League),30,20-10,"2,049",68.3
47,Hawaii (Big West),32,17-15,"2,336",73
70,High Point (Big South),31,17-14,"2,221",71.6
331,Hofstra (CAA),32,7-25,"1,873",58.5
302,Holy Cross (Patriot),30,12-18,"1,834",61.1
261,Houston Baptist (GWC),31,14-17,"1,982",63.9
7,Houston (C-USA),33,20-13,"2,578",78.1
344,Howard (MEAC),31,7-24,"1,615",52.1
336,Idaho St. (Big Sky),30,6-24,"1,710",57
147,Idaho (WAC),30,12-18,"2,050",68.3
27,Illinois St. (MVC),33,18-15,"2,460",74.5
146,Illinois (Big Ten),36,23-13,"2,465",68.5
223,Indiana St. (MVC),33,18-15,"2,159",65.4
5,Indiana (Big Ten),36,29-7,"2,831",78.6
1,Iona (MAAC),34,20-14,"2,733",80.4
3,Iowa St. (Big 12),35,23-12,"2,779",79.4
105,Iowa (Big Ten),38,25-13,"2,665",70.1
222,IUPUI (Summit League),32,6-26,"2,096",65.5
207,Jackson St. (SWAC),29,11-18,"1,920",66.2
200,Jacksonville St. (OVC),28,17-11,"1,857",66.3
151,Jacksonville (ASUN),32,14-18,"2,181",68.2
230,James Madison (CAA),36,21-15,"2,346",65.2
306,Kansas City (Summit League),32,8-24,"1,950",60.9
131,Kansas St. (Big 12),35,27-8,"2,414",69
24,Kansas (Big 12),37,31-6,"2,782",75.2
303,Kennesaw St. (ASUN),30,3-27,"1,831",61
82,Kent St. (MAC),35,21-14,"2,484",71
55,Kentucky (SEC),33,21-12,"2,396",72.6
60,La Salle (Atlantic 10),34,24-10,"2,450",72.1
128,Lafayette (Patriot),34,19-15,"2,349",69.1
321,Lamar University (Southland),31,3-28,"1,862",60.1
46,Lehigh (Patriot),31,21-10,"2,266",73.1
126,Liberty (Big South),36,15-21,"2,489",69.1
120,Lipscomb (ASUN),30,12-18,"2,079",69.3
198,Little Rock (Sun Belt),32,17-15,"2,127",66.5
4,LIU (NEC),34,20-14,"2,677",78.7
241,LMU (CA) (WCC),34,11-23,"2,202",64.8
116,Long Beach St. (Big West),33,19-14,"2,291",69.4
141,Longwood (Big South),33,8-25,"2,270",68.8
54,Louisiana Tech (WAC),34,27-7,"2,470",72.6
85,Louisiana (Sun Belt),33,13-20,"2,337",70.8
29,Louisville (AAC),40,35-5,"2,978",74.5
252,Loyola Chicago (Horizon),31,15-16,"1,995",64.4
192,Loyola Maryland (MAAC),35,23-12,"2,341",66.9
86,LSU (SEC),31,19-12,"2,194",70.8
203,Maine (America East),30,11-19,"1,988",66.3
332,Manhattan (MAAC),32,14-18,"1,865",58.3
212,Marist (MAAC),31,10-21,"2,045",66
153,Marquette (AAC),35,26-9,"2,382",68.1
130,Marshall (C-USA),32,13-19,"2,208",69
88,Maryland (ACC),38,25-13,"2,688",70.7
48,Massachusetts (Atlantic 10),33,21-12,"2,408",73
202,McNeese (Southland),31,14-17,"2,055",66.3
28,Memphis (C-USA),36,31-5,"2,681",74.5
213,Mercer (ASUN),36,24-12,"2,371",65.9
114,Miami (FL) (ACC),36,29-7,"2,509",69.7
275,Miami (OH) (MAC),31,9-22,"1,954",63
156,Michigan St. (Big Ten),36,27-9,"2,448",68
25,Michigan (Big Ten),39,31-8,"2,932",75.2
89,Middle Tenn. (Sun Belt),34,28-6,"2,405",70.7
284,Milwaukee (Horizon),32,8-24,"2,005",62.7
142,Minnesota (Big Ten),34,21-13,"2,337",68.7
310,Mississippi St. (SEC),32,10-22,"1,940",60.6
274,Mississippi Val. (SWAC),28,5-23,"1,765",63
327,Missouri St. (MVC),33,11-22,"1,966",59.6
20,Missouri (SEC),34,23-11,"2,588",76.1
239,Monmouth (NEC),31,10-21,"2,009",64.8
91,Montana St. (Big Sky),30,13-17,"2,118",70.6
109,Montana (Big Sky),32,25-7,"2,238",69.9
55,Morehead St. (OVC),33,15-18,"2,396",72.6
165,Morgan St. (MEAC),32,17-15,"2,162",67.6
111,Mount St. Mary's (NEC),32,18-14,"2,233",69.8
52,Murray St. (OVC),31,21-10,"2,257",72.8
291,N.C. A&T (MEAC),37,20-17,"2,299",62.1
181,N.C. Central (MEAC),31,22-9,"2,079",67.1
340,Navy (Patriot),31,8-23,"1,709",55.1
9,NC State (ACC),35,24-11,"2,708",77.4
333,Nebraska (Big Ten),33,15-18,"1,923",58.3
168,Nevada (Mountain West),31,12-19,"2,092",67.5
319,New Hampshire (America East),29,9-20,"1,745",60.2
174,New Mexico St. (WAC),35,24-11,"2,355",67.3
174,New Mexico (Mountain West),35,29-6,"2,355",67.3
135,New Orleans (Independent),26,8-18,"1,791",68.9
38,Niagara (MAAC),33,19-14,"2,436",73.8
172,Nicholls (Southland),30,9-21,"2,020",67.3
96,NJIT (GWC),29,16-13,"2,042",70.4
201,Norfolk St. (MEAC),33,21-12,"2,188",66.3
16,North Carolina (ACC),36,25-11,"2,760",76.7
180,North Dakota St. (Summit League),34,24-10,"2,282",67.1
172,North Dakota (Big Sky),33,16-17,"2,222",67.3
206,North Florida (ASUN),32,13-19,"2,119",66.2
208,North Texas (Sun Belt),32,12-20,"2,117",66.2
136,Northeastern (CAA),33,20-13,"2,273",68.9
193,Northern Ariz. (Big Sky),32,11-21,"2,140",66.9
94,Northern Colo. (Big Sky),31,13-18,"2,184",70.5
343,Northern Ill. (MAC),30,5-25,"1,619",54
2,Northwestern St. (Southland),32,23-9,"2,559",80
308,Northwestern (Big Ten),32,13-19,"1,943",60.7
107,Notre Dame (AAC),35,25-10,"2,450",70
34,Oakland (Summit League),33,16-17,"2,444",74.1
103,Ohio St. (Big Ten),37,29-8,"2,597",70.2
57,Ohio (MAC),34,24-10,"2,464",72.5
62,Oklahoma St. (Big 12),33,24-9,"2,371",71.8
90,Oklahoma (Big 12),32,20-12,"2,260",70.6
234,Old Dominion (CAA),30,5-25,"1,947",64.9
10,Ole Miss (SEC),36,27-9,"2,779",77.2
82,Oral Roberts (Southland),35,20-15,"2,484",71
61,Oregon St. (Pac-12),32,14-18,"2,304",72
71,Oregon (Pac-12),37,28-9,"2,650",71.6
186,Pacific (Big West),35,22-13,"2,344",67
297,Penn St. (Big Ten),31,10-21,"1,910",61.6
281,Penn (Ivy League),31,9-22,"1,947",62.8
282,Pepperdine (WCC),30,12-18,"1,883",62.8
125,Pittsburgh (AAC),33,24-9,"2,282",69.2
134,Portland St. (Big Sky),28,8-20,"1,929",68.9
305,Portland (WCC),32,11-21,"1,951",61
257,Prairie View (SWAC),34,15-19,"2,182",64.2
293,Presbyterian (Big South),32,8-24,"1,987",62.1
250,Princeton (Ivy League),28,17-11,"1,803",64.4
162,Providence (AAC),34,19-15,"2,299",67.6
183,Purdue Fort Wayne (Summit League),33,16-17,"2,213",67.1
205,Purdue (Big Ten),34,16-18,"2,252",66.2
64,Quinnipiac (NEC),31,15-16,"2,225",71.8
194,Radford (Big South),32,13-19,"2,136",66.8
298,Rhode Island (Atlantic 10),29,8-21,"1,786",61.6
312,Rice (C-USA),31,5-26,"1,875",60.5
107,Richmond (Atlantic 10),34,19-15,"2,380",70
265,Rider (MAAC),34,19-15,"2,166",63.7
84,Robert Morris (NEC),35,24-11,"2,480",70.9
224,Rutgers (AAC),31,15-16,"2,027",65.4
244,Sacramento St. (Big Sky),29,14-15,"1,876",64.7
102,Sacred Heart (NEC),29,9-20,"2,036",70.2
289,Saint Francis (PA) (NEC),29,5-24,"1,804",62.2
177,Saint Joseph's (Atlantic 10),32,18-14,"2,150",67.2
149,Saint Louis (Atlantic 10),35,28-7,"2,388",68.2
26,Saint Mary's (CA) (WCC),35,28-7,"2,610",74.6
326,Saint Peter's (MAAC),30,9-21,"1,788",59.6
263,Sam Houston (Southland),34,17-17,"2,168",63.8
301,Samford (SoCon),32,11-21,"1,957",61.2
121,San Diego St. (Mountain West),34,23-11,"2,356",69.3
231,San Diego (WCC),34,16-18,"2,215",65.1
113,San Francisco (WCC),31,15-16,"2,161",69.7
290,San Jose St. (WAC),29,9-20,"1,802",62.1
32,Santa Clara (WCC),38,26-12,"2,827",74.4
337,Savannah St. (MEAC),34,19-15,"1,931",56.8
221,Seattle U (WAC),30,8-22,"1,966",65.5
243,Seton Hall (AAC),33,15-18,"2,136",64.7
236,SFA (Southland),32,27-5,"2,075",64.8
323,Siena (MAAC),32,8-24,"1,921",60
278,SIUE (OVC),27,9-18,"1,699",62.9
247,SMU (C-USA),32,15-17,"2,064",64.5
143,South Alabama (Sun Belt),30,17-13,"2,060",68.7
317,South Carolina St. (MEAC),30,6-24,"1,808",60.3
210,South Carolina (SEC),32,14-18,"2,115",66.1
43,South Dakota St. (Summit League),35,25-10,"2,568",73.4
95,South Dakota (Summit League),30,10-20,"2,113",70.4
330,South Fla. (AAC),31,12-19,"1,822",58.8
33,Southeast Mo. St. (OVC),33,17-16,"2,446",74.1
270,Southeastern La. (Southland),31,13-18,"1,965",63.4
216,Southern California (Pac-12),32,14-18,"2,101",65.7
271,Southern Ill. (MVC),31,14-17,"1,964",63.4
37,Southern Miss. (C-USA),37,27-10,"2,733",73.9
171,Southern U. (SWAC),33,23-10,"2,223",67.4
196,Southern Utah (Big Sky),31,11-20,"2,066",66.6
53,St. Bonaventure (Atlantic 10),29,14-15,"2,109",72.7
100,St. Francis Brooklyn (NEC),30,12-18,"2,108",70.3
240,St. John's (NY) (AAC),33,17-16,"2,138",64.8
93,Stanford (Pac-12),34,19-15,"2,397",70.5
98,Stetson (ASUN),31,15-16,"2,180",70.3
155,Stony Brook (America East),33,25-8,"2,245",68
97,Syracuse (AAC),40,30-10,"2,816",70.4
341,TCU (Big 12),32,11-21,"1,761",55
59,Temple (Atlantic 10),34,24-10,"2,456",72.2
73,Tennessee St. (OVC),33,18-15,"2,360",71.5
242,Tennessee Tech (OVC),29,12-17,"1,878",64.8
199,Tennessee (SEC),33,20-13,"2,189",66.3
264,Texas A&M (SEC),33,18-15,"2,103",63.7
99,Texas Southern (SWAC),31,17-14,"2,179",70.3
92,Texas St. (WAC),34,12-22,"2,398",70.5
226,Texas Tech (Big 12),31,11-20,"2,026",65.4
220,Texas (Big 12),34,16-18,"2,229",65.6
251,The Citadel (SoCon),30,8-22,"1,931",64.4
138,Toledo (MAC),28,15-13,"1,928",68.9
145,Towson (CAA),31,18-13,"2,125",68.5
295,Troy (Sun Belt),33,12-21,"2,046",62
115,Tulane (C-USA),35,20-15,"2,436",69.6
158,Tulsa (C-USA),33,17-16,"2,241",67.9
74,UAB (C-USA),33,16-17,"2,357",71.4
80,UC Davis (Big West),31,14-17,"2,210",71.3
127,UC Irvine (Big West),37,21-16,"2,558",69.1
329,UC Riverside (Big West),31,6-25,"1,829",59
246,UC Santa Barbara (Big West),31,11-20,"2,003",64.6
86,UCF (C-USA),31,20-11,"2,194",70.8
31,UCLA (Pac-12),35,25-10,"2,604",74.4
110,UConn (AAC),30,20-10,"2,096",69.9
279,UIC (Horizon),34,18-16,"2,136",62.8
322,ULM (Sun Belt),27,4-23,"1,621",60
267,UMBC (America East),31,8-23,"1,970",63.5
342,UMES (MEAC),28,2-26,"1,535",54.8
67,UNC Asheville (Big South),32,16-16,"2,296",71.8
69,UNC Greensboro (SoCon),31,9-22,"2,222",71.7
272,UNCW (CAA),30,10-20,"1,899",63.3
195,UNI (MVC),36,21-15,"2,400",66.7
79,UNLV (Mountain West),35,25-10,"2,496",71.3
104,USC Upstate (ASUN),33,16-17,"2,315",70.2
255,UT Arlington (WAC),33,19-14,"2,121",64.3
189,UT Martin (OVC),30,9-21,"2,008",66.9
139,Utah St. (WAC),31,21-10,"2,134",68.8
170,Utah Valley (GWC),32,14-18,"2,157",67.4
258,Utah (Pac-12),33,15-18,"2,117",64.2
262,UTEP (C-USA),32,18-14,"2,042",63.8
216,UTRGV (GWC),32,16-16,"2,101",65.7
260,UTSA (WAC),32,10-22,"2,048",64
81,Valparaiso (Horizon),34,26-8,"2,420",71.2
315,Vanderbilt (SEC),33,16-17,"1,991",60.3
14,VCU (Atlantic 10),36,27-9,"2,770",76.9
268,Vermont (America East),33,21-12,"2,097",63.5
159,Villanova (AAC),34,20-14,"2,307",67.9
101,Virginia Tech (ACC),32,13-19,"2,248",70.3
256,Virginia (ACC),35,23-12,"2,248",64.2
6,VMI (Big South),31,14-17,"2,423",78.2
133,Wagner (NEC),31,19-12,"2,136",68.9
167,Wake Forest (ACC),31,13-18,"2,093",67.5
249,Washington St. (Pac-12),32,13-19,"2,061",64.4
157,Washington (Pac-12),34,18-16,"2,309",67.9
22,Weber St. (Big Sky),37,30-7,"2,800",75.7
209,West Virginia (Big 12),32,13-19,"2,116",66.1
117,Western Caro. (SoCon),33,14-19,"2,288",69.3
328,Western Ill. (Summit League),31,22-9,"1,845",59.5
190,Western Ky. (Sun Belt),36,20-16,"2,409",66.9
188,Western Mich. (MAC),35,22-13,"2,343",66.9
112,Wichita St. (MVC),39,30-9,"2,720",69.7
140,William & Mary (CAA),30,13-17,"2,064",68.8
324,Winthrop (Big South),31,14-17,"1,859",60
233,Wisconsin (Big Ten),35,23-12,"2,274",65
334,Wofford (SoCon),32,13-19,"1,858",58.1
294,Wright St. (Horizon),36,23-13,"2,233",62
304,Wyoming (Mountain West),34,20-14,"2,074",61
228,Xavier (Atlantic 10),31,17-14,"2,021",65.2
181,Yale (Ivy League),31,14-17,"2,079",67.1
77,Youngstown St. (Horizon),34,18-16,"2,426",71.4
