Rank,Team,W,L,Pct
218,Cleveland St. (Horizon),14,18,43.8
191,Coastal Carolina (Big South),14,15,48.3
57,Col. of Charleston (SoCon),24,11,68.6
275,Colgate (Patriot),11,21,34.4
36,Colorado St. (Mountain West),26,9,74.3
85,Colorado (Pac-12),21,12,63.6
232,Columbia (Ivy League),12,16,42.9
319,Coppin St. (MEAC),8,24,25
235,Cornell (Ivy League),13,18,41.9
23,Creighton (MVC),28,8,77.8
201,CSU Bakersfield (Independent),14,16,46.7
208,CSUN (Big West),14,17,45.2
293,Dartmouth (Ivy League),9,19,32.1
27,Davidson (SoCon),26,8,76.5
146,Dayton (Atlantic 10),17,14,54.8
203,Delaware St. (MEAC),15,18,45.5
123,Delaware (CAA),19,14,57.6
56,Denver (WAC),22,10,68.8
275,DePaul (AAC),11,21,34.4
106,Detroit Mercy (Horizon),20,13,60.6
198,Drake (MVC),15,17,46.9
235,Drexel (CAA),13,18,41.9
6,Duke (ACC),30,6,83.3
312,Duquesne (Atlantic 10),8,22,26.7
74,East Carolina (C-USA),23,12,65.7
275,Eastern Ill. (OVC),11,21,34.4
42,Eastern Ky. (OVC),25,10,71.4
194,Eastern Mich. (MAC),16,18,47.1
289,Eastern Wash. (Big Sky),10,21,32.3
85,Elon (SoCon),21,12,63.6
294,ETSU (ASUN),10,22,31.3
118,Evansville (MVC),21,15,58.3
155,Fairfield (MAAC),19,16,54.3
325,Fairleigh Dickinson (NEC),7,24,22.6
53,FGCU (ASUN),26,11,70.3
132,FIU (Sun Belt),18,14,56.3
218,Fla. Atlantic (Sun Belt),14,18,43.8
315,Florida A&M (MEAC),8,23,25.8
162,Florida St. (ACC),18,16,52.9
19,Florida (SEC),29,8,78.4
325,Fordham (Atlantic 10),7,24,22.6
266,Fresno St. (Mountain West),11,19,36.7
325,Furman (SoCon),7,24,22.6
233,Ga. Southern (SoCon),14,19,42.4
98,Gardner-Webb (Big South),21,13,61.8
122,George Mason (CAA),22,16,57.9
227,George Washington (Atlantic 10),13,17,43.3
21,Georgetown (AAC),25,7,78.1
184,Georgia St. (CAA),15,16,48.4
167,Georgia Tech (ACC),16,15,51.6
198,Georgia (SEC),15,17,46.9
1,Gonzaga (WCC),32,3,91.4
345,Grambling (SWAC),0,28,0
162,Green Bay (Horizon),18,16,52.9
208,Hampton (MEAC),14,17,45.2
146,Hartford (America East),17,14,54.8
68,Harvard (Ivy League),20,10,66.7
159,Hawaii (Big West),17,15,53.1
146,High Point (Big South),17,14,54.8
329,Hofstra (CAA),7,25,21.9
255,Holy Cross (Patriot),12,18,40
208,Houston Baptist (GWC),14,17,45.2
106,Houston (C-USA),20,13,60.6
325,Howard (MEAC),7,24,22.6
331,Idaho St. (Big Sky),6,24,20
255,Idaho (WAC),12,18,40
151,Illinois St. (MVC),18,15,54.5
82,Illinois (Big Ten),23,13,63.9
151,Indiana St. (MVC),18,15,54.5
11,Indiana (Big Ten),29,7,80.6
113,Iona (MAAC),20,14,58.8
74,Iowa St. (Big 12),23,12,65.7
72,Iowa (Big Ten),25,13,65.8
334,IUPUI (Summit League),6,26,18.8
264,Jackson St. (SWAC),11,18,37.9
104,Jacksonville St. (OVC),17,11,60.7
218,Jacksonville (ASUN),14,18,43.8
118,James Madison (CAA),21,15,58.3
319,Kansas City (Summit League),8,24,25
24,Kansas St. (Big 12),27,8,77.1
5,Kansas (Big 12),31,6,83.8
341,Kennesaw St. (ASUN),3,27,10
110,Kent St. (MAC),21,14,60
85,Kentucky (SEC),21,12,63.6
49,La Salle (Atlantic 10),24,10,70.6
138,Lafayette (Patriot),19,15,55.9
343,Lamar University (Southland),3,28,9.7
63,Lehigh (Patriot),21,10,67.7
241,Liberty (Big South),15,21,41.7
255,Lipscomb (ASUN),12,18,40
159,Little Rock (Sun Belt),17,15,53.1
113,LIU (NEC),20,14,58.8
288,LMU (CA) (WCC),11,23,32.4
123,Long Beach St. (Big West),19,14,57.6
324,Longwood (Big South),8,25,24.2
16,Louisiana Tech (WAC),27,7,79.4
260,Louisiana (Sun Belt),13,20,39.4
2,Louisville (AAC),35,5,87.5
184,Loyola Chicago (Horizon),15,16,48.4
74,Loyola Maryland (MAAC),23,12,65.7
100,LSU (SEC),19,12,61.3
266,Maine (America East),11,19,36.7
218,Manhattan (MAAC),14,18,43.8
289,Marist (MAAC),10,21,32.3
36,Marquette (AAC),26,9,74.3
245,Marshall (C-USA),13,19,40.6
72,Maryland (ACC),25,13,65.8
85,Massachusetts (Atlantic 10),21,12,63.6
208,McNeese (Southland),14,17,45.2
3,Memphis (C-USA),31,5,86.1
68,Mercer (ASUN),24,12,66.7
11,Miami (FL) (ACC),29,7,80.6
306,Miami (OH) (MAC),9,22,29
31,Michigan St. (Big Ten),27,9,75
15,Michigan (Big Ten),31,8,79.5
8,Middle Tenn. (Sun Belt),28,6,82.4
319,Milwaukee (Horizon),8,24,25
98,Minnesota (Big Ten),21,13,61.8
294,Mississippi St. (SEC),10,22,31.3
335,Mississippi Val. (SWAC),5,23,17.9
282,Missouri St. (MVC),11,22,33.3
66,Missouri (SEC),23,11,67.6
289,Monmouth (NEC),10,21,32.3
227,Montana St. (Big Sky),13,17,43.3
21,Montana (Big Sky),25,7,78.1
203,Morehead St. (OVC),15,18,45.5
159,Morgan St. (MEAC),17,15,53.1
132,Mount St. Mary's (NEC),18,14,56.3
63,Murray St. (OVC),21,10,67.7
156,N.C. A&T (MEAC),20,17,54.1
47,N.C. Central (MEAC),22,9,71
315,Navy (Patriot),8,23,25.8
57,NC State (ACC),24,11,68.6
203,Nebraska (Big Ten),15,18,45.5
262,Nevada (Mountain West),12,19,38.7
298,New Hampshire (America East),9,20,31
57,New Mexico St. (WAC),24,11,68.6
7,New Mexico (Mountain West),29,6,82.9
301,New Orleans (Independent),8,18,30.8
123,Niagara (MAAC),19,14,57.6
302,Nicholls (Southland),9,21,30
145,NJIT (GWC),16,13,55.2
85,Norfolk St. (MEAC),21,12,63.6
55,North Carolina (ACC),25,11,69.4
49,North Dakota St. (Summit League),24,10,70.6
177,North Dakota (Big Sky),16,17,48.5
245,North Florida (ASUN),13,19,40.6
265,North Texas (Sun Belt),12,20,37.5
106,Northeastern (CAA),20,13,60.6
275,Northern Ariz. (Big Sky),11,21,34.4
235,Northern Colo. (Big Sky),13,18,41.9
337,Northern Ill. (MAC),5,25,16.7
41,Northwestern St. (Southland),23,9,71.9
245,Northwestern (Big Ten),13,19,40.6
42,Notre Dame (AAC),25,10,71.4
177,Oakland (Summit League),16,17,48.5
19,Ohio St. (Big Ten),29,8,78.4
49,Ohio (MAC),24,10,70.6
39,Oklahoma St. (Big 12),24,9,72.7
96,Oklahoma (Big 12),20,12,62.5
337,Old Dominion (CAA),5,25,16.7
31,Ole Miss (SEC),27,9,75
127,Oral Roberts (Southland),20,15,57.1
218,Oregon St. (Pac-12),14,18,43.8
30,Oregon (Pac-12),28,9,75.7
93,Pacific (Big West),22,13,62.9
289,Penn St. (Big Ten),10,21,32.3
306,Penn (Ivy League),9,22,29
255,Pepperdine (WCC),12,18,40
39,Pittsburgh (AAC),24,9,72.7
309,Portland St. (Big Sky),8,20,28.6
275,Portland (WCC),11,21,34.4
217,Prairie View (SWAC),15,19,44.1
319,Presbyterian (Big South),8,24,25
104,Princeton (Ivy League),17,11,60.7
138,Providence (AAC),19,15,55.9
177,Purdue Fort Wayne (Summit League),16,17,48.5
194,Purdue (Big Ten),16,18,47.1
184,Quinnipiac (NEC),15,16,48.4
245,Radford (Big South),13,19,40.6
311,Rhode Island (Atlantic 10),8,21,27.6
339,Rice (C-USA),5,26,16.1
138,Richmond (Atlantic 10),19,15,55.9
138,Rider (MAAC),19,15,55.9
57,Robert Morris (NEC),24,11,68.6
184,Rutgers (AAC),15,16,48.4
191,Sacramento St. (Big Sky),14,15,48.3
298,Sacred Heart (NEC),9,20,31
336,Saint Francis (PA) (NEC),5,24,17.2
132,Saint Joseph's (Atlantic 10),18,14,56.3
13,Saint Louis (Atlantic 10),28,7,80
13,Saint Mary's (CA) (WCC),28,7,80
302,Saint Peter's (MAAC),9,21,30
173,Sam Houston (Southland),17,17,50
275,Samford (SoCon),11,21,34.4
66,San Diego St. (Mountain West),23,11,67.6
194,San Diego (WCC),16,18,47.1
184,San Francisco (WCC),15,16,48.4
298,San Jose St. (WAC),9,20,31
62,Santa Clara (WCC),26,12,68.4
138,Savannah St. (MEAC),19,15,55.9
312,Seattle U (WAC),8,22,26.7
203,Seton Hall (AAC),15,18,45.5
4,SFA (Southland),27,5,84.4
319,Siena (MAAC),8,24,25
282,SIUE (OVC),9,18,33.3
198,SMU (C-USA),15,17,46.9
130,South Alabama (Sun Belt),17,13,56.7
331,South Carolina St. (MEAC),6,24,20
218,South Carolina (SEC),14,18,43.8
42,South Dakota St. (Summit League),25,10,71.4
282,South Dakota (Summit League),10,20,33.3
262,South Fla. (AAC),12,19,38.7
169,Southeast Mo. St. (OVC),17,16,51.5
235,Southeastern La. (Southland),13,18,41.9
218,Southern California (Pac-12),14,18,43.8
208,Southern Ill. (MVC),14,17,45.2
38,Southern Miss. (C-USA),27,10,73
54,Southern U. (SWAC),23,10,69.7
269,Southern Utah (Big Sky),11,20,35.5
191,St. Bonaventure (Atlantic 10),14,15,48.3
255,St. Francis Brooklyn (NEC),12,18,40
169,St. John's (NY) (AAC),17,16,51.5
138,Stanford (Pac-12),19,15,55.9
184,Stetson (ASUN),15,16,48.4
29,Stony Brook (America East),25,8,75.8
31,Syracuse (AAC),30,10,75
275,TCU (Big 12),11,21,34.4
49,Temple (Atlantic 10),24,10,70.6
151,Tennessee St. (OVC),18,15,54.5
242,Tennessee Tech (OVC),12,17,41.4
106,Tennessee (SEC),20,13,60.6
151,Texas A&M (SEC),18,15,54.5
146,Texas Southern (SWAC),17,14,54.8
274,Texas St. (WAC),12,22,35.3
269,Texas Tech (Big 12),11,20,35.5
194,Texas (Big 12),16,18,47.1
312,The Citadel (SoCon),8,22,26.7
157,Toledo (MAC),15,13,53.6
121,Towson (CAA),18,13,58.1
268,Troy (Sun Belt),12,21,36.4
127,Tulane (C-USA),20,15,57.1
169,Tulsa (C-USA),17,16,51.5
177,UAB (C-USA),16,17,48.5
208,UC Davis (Big West),14,17,45.2
129,UC Irvine (Big West),21,16,56.8
333,UC Riverside (Big West),6,25,19.4
269,UC Santa Barbara (Big West),11,20,35.5
81,UCF (C-USA),20,11,64.5
42,UCLA (Pac-12),25,10,71.4
68,UConn (AAC),20,10,66.7
162,UIC (Horizon),18,16,52.9
340,ULM (Sun Belt),4,23,14.8
315,UMBC (America East),8,23,25.8
344,UMES (MEAC),2,26,7.1
173,UNC Asheville (Big South),16,16,50
306,UNC Greensboro (SoCon),9,22,29
282,UNCW (CAA),10,20,33.3
118,UNI (MVC),21,15,58.3
42,UNLV (Mountain West),25,10,71.4
177,USC Upstate (ASUN),16,17,48.5
123,UT Arlington (WAC),19,14,57.6
302,UT Martin (OVC),9,21,30
63,Utah St. (WAC),21,10,67.7
218,Utah Valley (GWC),14,18,43.8
203,Utah (Pac-12),15,18,45.5
132,UTEP (C-USA),18,14,56.3
173,UTRGV (GWC),16,16,50
294,UTSA (WAC),10,22,31.3
27,Valparaiso (Horizon),26,8,76.5
177,Vanderbilt (SEC),16,17,48.5
31,VCU (Atlantic 10),27,9,75
85,Vermont (America East),21,12,63.6
113,Villanova (AAC),20,14,58.8
245,Virginia Tech (ACC),13,19,40.6
74,Virginia (ACC),23,12,65.7
208,VMI (Big South),14,17,45.2
100,Wagner (NEC),19,12,61.3
235,Wake Forest (ACC),13,18,41.9
245,Washington St. (Pac-12),13,19,40.6
162,Washington (Pac-12),18,16,52.9
10,Weber St. (Big Sky),30,7,81.1
245,West Virginia (Big 12),13,19,40.6
233,Western Caro. (SoCon),14,19,42.4
47,Western Ill. (Summit League),22,9,71
144,Western Ky. (Sun Belt),20,16,55.6
93,Western Mich. (MAC),22,13,62.9
26,Wichita St. (MVC),30,9,76.9
227,William & Mary (CAA),13,17,43.3
208,Winthrop (Big South),14,17,45.2
74,Wisconsin (Big Ten),23,12,65.7
245,Wofford (SoCon),13,19,40.6
82,Wright St. (Horizon),23,13,63.9
113,Wyoming (Mountain West),20,14,58.8
146,Xavier (Atlantic 10),17,14,54.8
208,Yale (Ivy League),14,17,45.2
162,Youngstown St. (Horizon),18,16,52.9
