Rank,Team,GM,W-L,BLKS,BKPG
33,Southeast Mo. St. (OVC),33,17-16,161,4.9
220,Southeastern La. (Southland),31,13-18,93,3
25,Southern California (Pac-12),32,14-18,162,5.1
305,Southern Ill. (MVC),31,14-17,68,2.2
252,Southern Miss. (C-USA),37,27-10,101,2.7
99,Southern U. (SWAC),33,23-10,134,4.1
30,Southern Utah (Big Sky),31,11-20,154,5
233,St. Bonaventure (Atlantic 10),29,14-15,84,2.9
292,St. Francis Brooklyn (NEC),30,12-18,69,2.3
1,St. John's (NY) (AAC),33,17-16,241,7.3
104,Stanford (Pac-12),34,19-15,137,4
275,Stetson (ASUN),31,15-16,78,2.5
129,Stony Brook (America East),33,25-8,125,3.8
5,Syracuse (AAC),40,30-10,246,6.2
240,TCU (Big 12),32,11-21,90,2.8
140,Temple (Atlantic 10),34,24-10,126,3.7
68,Tennessee St. (OVC),33,18-15,145,4.4
155,Tennessee Tech (OVC),29,12-17,104,3.6
112,Tennessee (SEC),33,20-13,130,3.9
223,Texas A&M (SEC),33,18-15,98,3
48,Texas Southern (SWAC),31,17-14,142,4.6
208,Texas St. (WAC),34,12-22,106,3.1
215,Texas Tech (Big 12),31,11-20,94,3
36,Texas (Big 12),34,16-18,163,4.8
292,The Citadel (SoCon),30,8-22,69,2.3
182,Toledo (MAC),28,15-13,93,3.3
15,Towson (CAA),31,18-13,169,5.5
281,Troy (Sun Belt),33,12-21,81,2.5
323,Tulane (C-USA),35,20-15,66,1.9
212,Tulsa (C-USA),33,17-16,101,3.1
268,UAB (C-USA),33,16-17,85,2.6
241,UC Davis (Big West),31,14-17,87,2.8
69,UC Irvine (Big West),37,21-16,162,4.4
228,UC Riverside (Big West),31,6-25,91,2.9
64,UC Santa Barbara (Big West),31,11-20,137,4.4
53,UCF (C-USA),31,20-11,141,4.5
151,UCLA (Pac-12),35,25-10,127,3.6
55,UConn (AAC),30,20-10,136,4.5
251,UIC (Horizon),34,18-16,93,2.7
341,ULM (Sun Belt),27,4-23,36,1.3
300,UMBC (America East),31,8-23,69,2.2
269,UMES (MEAC),28,2-26,72,2.6
19,UNC Asheville (Big South),32,16-16,169,5.3
337,UNC Greensboro (SoCon),31,9-22,50,1.6
82,UNCW (CAA),30,10-20,126,4.2
283,UNI (MVC),36,21-15,88,2.4
8,UNLV (Mountain West),35,25-10,203,5.8
107,USC Upstate (ASUN),33,16-17,131,4
154,UT Arlington (WAC),33,19-14,119,3.6
273,UT Martin (OVC),30,9-21,76,2.5
102,Utah St. (WAC),31,21-10,125,4
216,Utah Valley (GWC),32,14-18,97,3
177,Utah (Pac-12),33,15-18,110,3.3
142,UTEP (C-USA),32,18-14,118,3.7
321,UTRGV (GWC),32,16-16,62,1.9
340,UTSA (WAC),32,10-22,43,1.3
175,Valparaiso (Horizon),34,26-8,114,3.4
150,Vanderbilt (SEC),33,16-17,120,3.6
219,VCU (Atlantic 10),36,27-9,109,3
239,Vermont (America East),33,21-12,93,2.8
175,Villanova (AAC),34,20-14,114,3.4
113,Virginia Tech (ACC),32,13-19,125,3.9
66,Virginia (ACC),35,23-12,154,4.4
74,VMI (Big South),31,14-17,135,4.4
20,Wagner (NEC),31,19-12,163,5.3
81,Wake Forest (ACC),31,13-18,131,4.2
285,Washington St. (Pac-12),32,13-19,77,2.4
90,Washington (Pac-12),34,18-16,141,4.1
60,Weber St. (Big Sky),37,30-7,165,4.5
142,West Virginia (Big 12),32,13-19,118,3.7
218,Western Caro. (SoCon),33,14-19,100,3
102,Western Ill. (Summit League),31,22-9,125,4
199,Western Ky. (Sun Belt),36,20-16,115,3.2
190,Western Mich. (MAC),35,22-13,114,3.3
54,Wichita St. (MVC),39,30-9,177,4.5
214,William & Mary (CAA),30,13-17,91,3
309,Winthrop (Big South),31,14-17,67,2.2
71,Wisconsin (Big Ten),35,23-12,153,4.4
297,Wofford (SoCon),32,13-19,72,2.3
322,Wright St. (Horizon),36,23-13,69,1.9
195,Wyoming (Mountain West),34,20-14,110,3.2
245,Xavier (Atlantic 10),31,17-14,86,2.8
225,Yale (Ivy League),31,14-17,92,3
16,Youngstown St. (Horizon),34,18-16,182,5.4
