Rank,Team,GM,W-L,PTS,PPG
187,Navy (Patriot),31,11-20,"2,113",68.2
114,NC State (ACC),31,15-16,"2,191",70.7
235,Nebraska (Big 12),32,19-13,"2,124",66.4
125,Nevada (WAC),32,13-19,"2,245",70.2
332,New Hampshire (America East),30,12-18,"1,749",58.3
89,New Mexico St. (WAC),33,16-17,"2,364",71.6
61,New Mexico (Mountain West),35,22-13,"2,562",73.2
305,Niagara (MAAC),32,9-23,"1,966",61.4
256,Nicholls (Southland),28,14-14,"1,836",65.6
163,NJIT (NJIT),30,15-15,"2,065",68.8
136,Norfolk St. (MEAC),32,12-20,"2,238",69.9
17,North Carolina (ACC),37,29-8,"2,868",77.5
32,North Dakota St. (Summit League),29,14-15,"2,188",75.4
263,North Florida (ASUN),34,15-19,"2,208",64.9
27,North Texas (Sun Belt),33,22-11,"2,516",76.2
227,Northeastern (CAA),31,11-20,"2,064",66.6
82,Northern Ariz. (Big Sky),32,19-13,"2,299",71.8
95,Northern Colo. (Big Sky),32,21-11,"2,287",71.5
175,Northern Ill. (MAC),30,9-21,"2,055",68.5
19,Northwestern St. (Southland),32,18-14,"2,462",76.9
83,Northwestern (Big Ten),34,20-14,"2,441",71.8
34,Notre Dame (AAC),34,27-7,"2,558",75.2
2,Oakland (Summit League),35,25-10,"2,992",85.5
18,Ohio St. (Big Ten),37,34-3,"2,854",77.1
43,Ohio (MAC),35,19-16,"2,604",74.4
186,Oklahoma St. (Big 12),34,20-14,"2,318",68.2
248,Oklahoma (Big 12),32,14-18,"2,111",66
255,Old Dominion (CAA),34,27-7,"2,231",65.6
51,Ole Miss (SEC),34,20-14,"2,513",73.9
40,Oral Roberts (Summit League),35,19-16,"2,615",74.7
154,Oregon St. (Pac-12),31,11-20,"2,147",69.3
124,Oregon (Pac-12),39,21-18,"2,737",70.2
253,Pacific (Big West),31,16-15,"2,038",65.7
289,Penn St. (Big Ten),34,19-15,"2,144",63.1
226,Penn (Ivy League),28,13-15,"1,868",66.7
152,Pepperdine (WCC),33,12-21,"2,289",69.4
49,Pittsburgh (AAC),34,28-6,"2,514",73.9
75,Portland St. (Big Sky),30,14-16,"2,169",72.3
105,Portland (WCC),32,20-12,"2,272",71
293,Prairie View (SWAC),32,10-22,"2,011",62.8
157,Princeton (Ivy League),32,25-7,"2,215",69.2
31,Providence (AAC),32,15-17,"2,426",75.8
44,Purdue Fort Wayne (Summit League),30,18-12,"2,230",74.3
69,Purdue (Big Ten),34,26-8,"2,466",72.5
86,Quinnipiac (NEC),32,22-10,"2,295",71.7
325,Radford (Big South),29,5-24,"1,734",59.8
190,Rhode Island (Atlantic 10),34,20-14,"2,316",68.1
219,Rice (C-USA),32,14-18,"2,148",67.1
146,Richmond (Atlantic 10),37,29-8,"2,577",69.6
63,Rider (MAAC),34,23-11,"2,486",73.1
212,Robert Morris (NEC),32,18-14,"2,153",67.3
237,Rutgers (AAC),32,15-17,"2,122",66.3
303,Sacramento St. (Big Sky),28,7-21,"1,729",61.8
239,Sacred Heart (NEC),29,11-18,"1,922",66.3
260,Saint Francis (PA) (NEC),30,9-21,"1,957",65.2
272,Saint Joseph's (Atlantic 10),33,11-22,"2,129",64.5
290,Saint Louis (Atlantic 10),31,12-19,"1,953",63
14,Saint Mary's (CA) (WCC),34,25-9,"2,684",78.9
312,Saint Peter's (MAAC),34,20-14,"2,069",60.9
145,Sam Houston (Southland),31,18-13,"2,161",69.7
313,Samford (SoCon),31,12-19,"1,880",60.6
81,San Diego St. (Mountain West),37,34-3,"2,660",71.9
311,San Diego (WCC),30,6-24,"1,826",60.9
126,San Francisco (WCC),34,19-15,"2,384",70.1
72,San Jose St. (WAC),33,17-16,"2,391",72.5
50,Santa Clara (WCC),38,24-14,"2,809",73.9
315,Savannah St. (Savannah St.),30,12-18,"1,818",60.6
208,Seton Hall (AAC),31,13-18,"2,092",67.5
233,SFA (Southland),29,18-11,"1,926",66.4
199,Siena (MAAC),31,13-18,"2,103",67.8
270,SMU (C-USA),35,20-15,"2,262",64.6
121,South Alabama (Sun Belt),28,12-16,"1,969",70.3
243,South Carolina St. (MEAC),32,10-22,"2,119",66.2
207,South Carolina (SEC),30,14-16,"2,027",67.6
6,South Dakota St. (Summit League),31,19-12,"2,533",81.7
300,South Fla. (AAC),33,10-23,"2,044",61.9
245,Southeast Mo. St. (OVC),32,10-22,"2,117",66.2
