Rank,Team,GM,W-L,BLKS,BKPG
172,DePaul (AAC),31,7-24,103,3.3
27,Detroit Mercy (Horizon),33,17-16,165,5
236,Drake (MVC),31,13-18,87,2.8
243,Drexel (CAA),31,21-10,85,2.7
59,Duke (ACC),37,32-5,162,4.4
19,Duquesne (Atlantic 10),32,19-13,170,5.3
237,East Carolina (C-USA),34,18-16,95,2.8
280,Eastern Ill. (OVC),29,9-20,72,2.5
243,Eastern Ky. (OVC),31,15-16,85,2.7
119,Eastern Mich. (MAC),31,9-22,115,3.7
87,Eastern Wash. (Big Sky),30,10-20,120,4
264,Elon (SoCon),31,14-17,81,2.6
104,ETSU (ASUN),36,24-12,137,3.8
318,Evansville (MVC),32,16-16,59,1.8
142,Fairfield (MAAC),33,25-8,118,3.6
149,Fairleigh Dickinson (NEC),29,5-24,102,3.5
115,FIU (Sun Belt),30,11-19,112,3.7
30,Fla. Atlantic (Sun Belt),32,21-11,158,4.9
84,Florida A&M (MEAC),32,12-20,129,4
5,Florida St. (ACC),34,23-11,203,6
146,Florida (SEC),37,29-8,131,3.5
58,Fordham (Atlantic 10),28,7-21,123,4.4
119,Fresno St. (WAC),31,14-17,115,3.7
160,Furman (SoCon),33,22-11,114,3.5
246,Ga. Southern (SoCon),32,5-27,87,2.7
291,Gardner-Webb (Big South),32,11-21,77,2.4
183,George Mason (CAA),34,27-7,110,3.2
90,George Washington (Atlantic 10),31,17-14,123,4
61,Georgetown (AAC),32,21-11,139,4.3
37,Georgia St. (CAA),31,12-19,148,4.8
79,Georgia Tech (ACC),31,13-18,126,4.1
34,Georgia (SEC),33,21-12,162,4.9
108,Gonzaga (WCC),35,25-10,132,3.8
242,Grambling (SWAC),33,12-21,91,2.8
116,Green Bay (Horizon),32,14-18,119,3.7
10,Hampton (MEAC),33,24-9,185,5.6
279,Hartford (America East),31,11-20,77,2.5
45,Harvard (Ivy League),30,23-7,137,4.6
70,Hawaii (WAC),32,19-13,134,4.2
234,High Point (Big South),31,12-19,88,2.8
65,Hofstra (CAA),33,21-12,141,4.3
110,Holy Cross (Patriot),29,8-21,109,3.8
67,Houston (C-USA),30,12-18,126,4.2
307,Howard (MEAC),30,6-24,64,2.1
179,Idaho St. (Big Sky),29,9-20,95,3.3
207,Idaho (WAC),32,18-14,98,3.1
87,Illinois St. (MVC),31,12-19,124,4
52,Illinois (Big Ten),34,20-14,152,4.5
66,Indiana St. (MVC),34,20-14,145,4.3
261,Indiana (Big Ten),32,12-20,84,2.6
175,Iona (MAAC),37,25-12,122,3.3
125,Iowa St. (Big 12),32,16-16,118,3.7
228,Iowa (Big Ten),31,11-20,89,2.9
252,IUPUI (Summit League),33,19-14,88,2.7
189,Jackson St. (SWAC),32,17-15,102,3.2
147,Jacksonville St. (OVC),30,5-25,106,3.5
98,Jacksonville (ASUN),32,20-12,123,3.8
111,James Madison (CAA),33,21-12,124,3.8
265,Kansas City (Summit League),30,16-14,78,2.6
48,Kansas St. (Big 12),34,23-11,154,4.5
86,Kansas (Big 12),38,35-3,153,4
99,Kennesaw St. (ASUN),31,8-23,119,3.8
78,Kent St. (MAC),37,25-12,151,4.1
3,Kentucky (SEC),38,29-9,239,6.3
85,La Salle (Atlantic 10),33,15-18,133,4
282,Lafayette (Patriot),32,13-19,79,2.5
123,Lamar University (Southland),30,13-17,111,3.7
99,Lehigh (Patriot),31,16-15,119,3.8
166,Liberty (Big South),32,19-13,109,3.4
309,Lipscomb (ASUN),30,17-13,63,2.1
281,Little Rock (Sun Belt),36,19-17,89,2.5
170,LIU (NEC),33,27-6,111,3.4
80,LMU (CA) (WCC),32,11-21,130,4.1
308,Long Beach St. (Big West),34,22-12,72,2.1
312,Longwood (Longwood),31,12-19,64,2.1
293,Louisiana Tech (WAC),32,12-20,76,2.4
60,Louisiana (Sun Belt),29,14-15,126,4.3
27,Louisville (AAC),35,25-10,175,5
144,Loyola Chicago (Horizon),31,16-15,110,3.5
62,Loyola Maryland (MAAC),30,15-15,130,4.3
174,LSU (SEC),32,11-21,106,3.3
167,Maine (America East),30,15-15,102,3.4
87,Manhattan (MAAC),31,6-25,124,4
259,Marist (MAAC),33,6-27,87,2.6
135,Marquette (AAC),37,22-15,134,3.6
139,Marshall (C-USA),34,22-12,122,3.6
47,Maryland (ACC),33,19-14,150,4.5
102,Massachusetts (Atlantic 10),30,15-15,115,3.8
200,McNeese (Southland),33,21-12,102,3.1
21,Memphis (C-USA),35,25-10,183,5.2
250,Mercer (ASUN),33,15-18,89,2.7
161,Miami (FL) (ACC),36,21-15,124,3.4
238,Miami (OH) (MAC),33,16-17,92,2.8
33,Michigan St. (Big Ten),34,19-15,167,4.9
316,Michigan (Big Ten),35,21-14,69,2
143,Middle Tenn. (Sun Belt),32,16-16,114,3.6
304,Milwaukee (Horizon),33,19-14,72,2.2
15,Minnesota (Big Ten),31,17-14,169,5.5
76,Mississippi St. (SEC),31,17-14,128,4.1
232,Mississippi Val. (SWAC),32,13-19,91,2.8
219,Missouri St. (MVC),35,26-9,103,2.9
26,Missouri (Big 12),34,23-11,171,5
309,Monmouth (NEC),30,9-21,63,2.1
289,Montana St. (Big Sky),31,13-18,75,2.4
36,Montana (Big Sky),32,21-11,153,4.8
192,Morehead St. (OVC),35,25-10,110,3.1
103,Morgan St. (MEAC),31,17-14,118,3.8
152,Mount St. Mary's (NEC),32,11-21,112,3.5
224,Murray St. (OVC),32,23-9,93,2.9
40,N.C. A&T (MEAC),32,15-17,150,4.7
255,Navy (Patriot),31,11-20,82,2.6
55,NC State (ACC),31,15-16,138,4.5
137,Nebraska (Big 12),32,19-13,115,3.6
132,Nevada (WAC),32,13-19,117,3.7
197,New Hampshire (America East),30,12-18,93,3.1
111,New Mexico St. (WAC),33,16-17,124,3.8
173,New Mexico (Mountain West),35,22-13,116,3.3
162,Niagara (MAAC),32,9-23,110,3.4
335,Nicholls (Southland),28,14-14,28,1
287,NIU (MAC),30,9-21,73,2.4
130,NJIT (NJIT),30,15-15,110,3.7
9,Norfolk St. (MEAC),32,12-20,183,5.7
13,North Carolina (ACC),37,29-8,204,5.5
262,North Dakota St. (Summit League),29,14-15,76,2.6
195,North Florida (ASUN),34,15-19,106,3.1
295,North Texas (Sun Belt),33,22-11,77,2.3
299,Northeastern (CAA),31,11-20,70,2.3
72,Northern Ariz. (Big Sky),32,19-13,133,4.2
317,Northern Colo. (Big Sky),32,21-11,62,1.9
1,Northwestern St. (Southland),32,18-14,225,7
186,Northwestern (Big Ten),34,20-14,109,3.2
109,Notre Dame (AAC),34,27-7,128,3.8
12,Oakland (Summit League),35,25-10,194,5.5
188,Ohio St. (Big Ten),37,34-3,118,3.2
276,Ohio (MAC),35,19-16,88,2.5
223,Oklahoma St. (Big 12),34,20-14,99,2.9
239,Oklahoma (Big 12),32,14-18,89,2.8
64,Old Dominion (CAA),34,27-7,146,4.3
20,Ole Miss (SEC),34,20-14,180,5.3
230,Oral Roberts (Summit League),35,19-16,100,2.9
303,Oregon St. (Pac-12),31,11-20,68,2.2
258,Oregon (Pac-12),39,21-18,103,2.6
314,Pacific (Big West),31,16-15,63,2
290,Penn St. (Big Ten),34,19-15,82,2.4
296,Penn (Ivy League),28,13-15,65,2.3
220,Pepperdine (WCC),33,12-21,97,2.9
181,Pittsburgh (AAC),34,28-6,111,3.3
297,Portland St. (Big Sky),30,14-16,69,2.3
198,Portland (WCC),32,20-12,99,3.1
116,Prairie View (SWAC),32,10-22,119,3.7
72,Princeton (Ivy League),32,25-7,133,4.2
57,Providence (AAC),32,15-17,142,4.4
214,Purdue Fort Wayne (Summit League),30,18-12,90,3
75,Purdue (Big Ten),34,26-8,141,4.1
152,Quinnipiac (NEC),32,22-10,112,3.5
212,Radford (Big South),29,5-24,88,3
97,Rhode Island (Atlantic 10),34,20-14,131,3.9
293,Rice (C-USA),32,14-18,76,2.4
69,Richmond (Atlantic 10),37,29-8,155,4.2
56,Rider (MAAC),34,23-11,151,4.4
313,Robert Morris (NEC),32,18-14,66,2.1
54,Rutgers (AAC),32,15-17,143,4.5
163,Sacramento St. (Big Sky),28,7-21,96,3.4
204,Sacred Heart (NEC),29,11-18,89,3.1
205,Saint Francis (PA) (NEC),30,9-21,92,3.1
14,Saint Joseph's (Atlantic 10),33,11-22,181,5.5
150,Saint Louis (Atlantic 10),31,12-19,109,3.5
176,Saint Mary's (CA) (WCC),34,25-9,112,3.3
48,Saint Peter's (MAAC),34,20-14,154,4.5
302,Sam Houston (Southland),31,18-13,69,2.2
326,Samford (SoCon),31,12-19,49,1.6
43,San Diego St. (Mountain West),37,34-3,170,4.6
226,San Diego (WCC),30,6-24,87,2.9
286,San Francisco (WCC),34,19-15,83,2.4
278,San Jose St. (WAC),33,17-16,82,2.5
211,Santa Clara (WCC),38,24-14,116,3.1
152,Savannah St. (Savannah St.),30,12-18,105,3.5
144,Seton Hall (AAC),31,13-18,110,3.5
333,SFA (Southland),29,18-11,40,1.4
114,Siena (MAAC),31,13-18,116,3.7
203,SMU (C-USA),35,20-15,108,3.1
32,South Alabama (Sun Belt),28,12-16,138,4.9
134,South Carolina St. (MEAC),32,10-22,116,3.6
4,South Carolina (SEC),30,14-16,186,6.2
255,South Dakota St. (Summit League),31,19-12,82,2.6
124,South Fla. (AAC),33,10-23,122,3.7
113,Southeast Mo. St. (OVC),32,10-22,120,3.8
96,Southeastern La. (Southland),29,15-14,112,3.9
210,Southern California (Pac-12),34,19-15,104,3.1
270,Southern Ill. (MVC),32,13-19,82,2.6
137,Southern Miss. (C-USA),32,22-10,115,3.6
171,Southern U. (SWAC),30,4-26,100,3.3
50,Southern Utah (Summit League),30,11-19,135,4.5
164,St. Bonaventure (Atlantic 10),31,16-15,106,3.4
292,St. Francis Brooklyn (NEC),30,15-15,72,2.4
231,St. John's (NY) (AAC),33,21-12,94,2.8
164,Stanford (Pac-12),31,15-16,106,3.4
225,Stetson (ASUN),31,8-23,90,2.9
239,Stony Brook (America East),32,15-17,89,2.8
2,Syracuse (AAC),35,27-8,231,6.6
300,TCU (Mountain West),33,11-22,74,2.2
44,Temple (Atlantic 10),34,26-8,156,4.6
159,Tennessee St. (OVC),30,14-16,104,3.5
304,Tennessee Tech (OVC),33,20-13,72,2.2
122,Tennessee (SEC),34,19-15,126,3.7
328,Texas A&M (Big 12),33,24-9,51,1.5
157,Texas Southern (SWAC),32,19-13,111,3.5
182,Texas St. (Southland),32,16-16,104,3.3
63,Texas Tech (Big 12),32,13-19,138,4.3
25,Texas (Big 12),36,28-8,183,5.1
329,The Citadel (SoCon),32,10-22,47,1.5
329,Toledo (MAC),32,4-28,47,1.5
226,Towson (CAA),30,4-26,87,2.9
140,Troy (Sun Belt),29,8-21,104,3.6
245,Tulane (C-USA),30,13-17,82,2.7
116,Tulsa (C-USA),32,19-13,119,3.7
193,UAB (C-USA),31,22-9,97,3.1
269,UC Davis (Big West),30,10-20,77,2.6
319,UC Irvine (Big West),32,13-19,57,1.8
99,UC Riverside (Big West),31,12-19,119,3.8
72,UC Santa Barbara (Big West),32,18-14,133,4.2
8,UCF (C-USA),33,21-12,190,5.8
7,UCLA (Pac-12),34,23-11,198,5.8
11,UConn (AAC),41,32-9,228,5.6
255,UIC (Horizon),31,7-24,82,2.6
323,ULM (Sun Belt),31,7-24,51,1.6
325,UMBC (America East),30,5-25,48,1.6
326,UMES (MEAC),31,9-22,49,1.6
52,UNC Asheville (Big South),34,20-14,152,4.5
285,UNC Greensboro (SoCon),31,7-24,76,2.5
168,UNCW (CAA),31,13-18,105,3.4
322,UNI (MVC),34,20-14,57,1.7
130,UNLV (Mountain West),33,24-9,121,3.7
253,UT Arlington (Southland),29,13-16,77,2.7
259,UT Martin (OVC),33,12-21,87,2.6
183,Utah St. (WAC),34,30-4,110,3.2
205,Utah Valley (Utah Valley),30,19-11,92,3.1
22,Utah (Mountain West),31,13-18,160,5.2
105,UTEP (C-USA),35,25-10,133,3.8
321,UTRGV (UTRGV),31,6-25,54,1.7
301,UTSA (Southland),34,20-14,76,2.2
247,Valparaiso (Horizon),35,23-12,95,2.7
38,Vanderbilt (SEC),34,23-11,162,4.8
152,VCU (CAA),40,28-12,140,3.5
178,Vermont (America East),32,23-9,105,3.3
106,Villanova (AAC),33,21-12,125,3.8
129,Virginia Tech (ACC),34,22-12,125,3.7
218,Virginia (ACC),31,16-15,92,3
46,VMI (Big South),31,18-13,141,4.5
91,Wagner (NEC),30,13-17,119,4
16,Wake Forest (ACC),32,8-24,174,5.4
94,Washington St. (Pac-12),35,22-13,136,3.9
24,Washington (Pac-12),35,24-11,179,5.1
232,Weber St. (Big Sky),32,18-14,91,2.8
77,West Virginia (AAC),33,21-12,136,4.1
200,Western Caro. (SoCon),33,18-15,102,3.1
284,Western Ill. (Summit League),30,7-23,74,2.5
95,Western Ky. (Sun Belt),32,16-16,124,3.9
156,Western Mich. (MAC),34,21-13,118,3.5
93,Wichita St. (MVC),37,29-8,144,3.9
217,William & Mary (CAA),32,10-22,95,3
180,Winthrop (Big South),30,13-17,98,3.3
202,Wisconsin (Big Ten),34,25-9,105,3.1
274,Wofford (SoCon),34,21-13,86,2.5
334,Wright St. (Horizon),33,19-14,35,1.1
107,Wyoming (Mountain West),31,10-21,117,3.8
207,Xavier (Atlantic 10),32,24-8,98,3.1
42,Yale (Ivy League),28,15-13,129,4.6
31,Youngstown St. (Horizon),30,9-21,148,4.9
