Rank,Team,GM,W-L,AST,TO,Ratio
163,Memphis (C-USA),35,25-10,512,535,0.96
243,Mercer (ASUN),33,15-18,395,469,0.84
248,Miami (FL) (ACC),36,21-15,416,498,0.84
270,Miami (OH) (MAC),33,16-17,372,465,0.80
77,Michigan St. (Big Ten),34,19-15,509,454,1.12
14,Michigan (Big Ten),35,21-14,480,351,1.37
320,Middle Tenn. (Sun Belt),32,16-16,339,485,0.70
199,Milwaukee (Horizon),33,19-14,422,459,0.92
55,Minnesota (Big Ten),31,17-14,487,413,1.18
175,Mississippi St. (SEC),31,17-14,392,413,0.95
314,Mississippi Val. (SWAC),32,13-19,393,555,0.71
27,Missouri St. (MVC),35,26-9,464,362,1.28
24,Missouri (Big 12),34,23-11,557,431,1.29
238,Monmouth (NEC),30,9-21,376,439,0.86
133,Montana St. (Big Sky),31,13-18,374,373,1.00
110,Montana (Big Sky),32,21-11,421,402,1.05
264,Morehead St. (OVC),35,25-10,424,525,0.81
276,Morgan St. (MEAC),31,17-14,372,470,0.79
273,Mount St. Mary's (NEC),32,11-21,378,475,0.80
158,Murray St. (OVC),32,23-9,433,448,0.97
266,N.C. A&T (MEAC),32,15-17,385,477,0.81
260,Navy (Patriot),31,11-20,387,474,0.82
57,NC State (ACC),31,15-16,442,376,1.18
160,Nebraska (Big 12),32,19-13,415,431,0.96
284,Nevada (WAC),32,13-19,356,459,0.78
263,New Hampshire (America East),30,12-18,292,360,0.81
244,New Mexico St. (WAC),33,16-17,410,487,0.84
72,New Mexico (Mountain West),35,22-13,535,471,1.14
297,Niagara (MAAC),32,9-23,335,449,0.75
87,Nicholls (Southland),28,14-14,395,358,1.10
165,NJIT (NJIT),30,15-15,390,408,0.96
270,Norfolk St. (MEAC),32,12-20,412,515,0.80
61,North Carolina (ACC),37,29-8,573,493,1.16
116,North Dakota St. (Summit League),29,14-15,396,381,1.04
312,North Florida (ASUN),34,15-19,404,569,0.71
193,North Texas (Sun Belt),33,22-11,407,439,0.93
93,Northeastern (CAA),31,11-20,427,389,1.10
19,Northern Ariz. (Big Sky),32,19-13,546,417,1.31
253,Northern Colo. (Big Sky),32,21-11,375,454,0.83
242,Northern Ill. (MAC),30,9-21,361,428,0.84
279,Northwestern St. (Southland),32,18-14,426,542,0.79
2,Northwestern (Big Ten),34,20-14,568,335,1.70
4,Notre Dame (AAC),34,27-7,563,364,1.55
48,Oakland (Summit League),35,25-10,568,473,1.20
3,Ohio St. (Big Ten),37,34-3,587,375,1.57
75,Ohio (MAC),35,19-16,533,471,1.13
300,Oklahoma St. (Big 12),34,20-14,338,456,0.74
197,Oklahoma (Big 12),32,14-18,400,434,0.92
67,Old Dominion (CAA),34,27-7,485,424,1.14
168,Ole Miss (SEC),34,20-14,415,435,0.95
145,Oral Roberts (Summit League),35,19-16,446,452,0.99
275,Oregon St. (Pac-12),31,11-20,374,472,0.79
70,Oregon (Pac-12),39,21-18,545,477,1.14
42,Pacific (Big West),31,16-15,433,356,1.22
62,Penn St. (Big Ten),34,19-15,413,358,1.15
146,Penn (Ivy League),28,13-15,381,387,0.98
192,Pepperdine (WCC),33,12-21,408,440,0.93
7,Pittsburgh (AAC),34,28-6,595,397,1.50
114,Portland St. (Big Sky),30,14-16,390,374,1.04
99,Portland (WCC),32,20-12,447,413,1.08
289,Prairie View (SWAC),32,10-22,366,477,0.77
93,Princeton (Ivy League),32,25-7,427,389,1.10
149,Providence (AAC),32,15-17,399,407,0.98
50,Purdue Fort Wayne (Summit League),30,18-12,436,365,1.19
6,Purdue (Big Ten),34,26-8,538,354,1.52
31,Quinnipiac (NEC),32,22-10,498,400,1.25
329,Radford (Big South),29,5-24,294,475,0.62
137,Rhode Island (Atlantic 10),34,20-14,415,416,1.00
112,Rice (C-USA),32,14-18,411,393,1.05
9,Richmond (Atlantic 10),37,29-8,548,383,1.43
122,Rider (MAAC),34,23-11,481,469,1.03
119,Robert Morris (NEC),32,18-14,436,422,1.03
79,Rutgers (AAC),32,15-17,434,389,1.12
249,Sacramento St. (Big Sky),28,7-21,344,412,0.83
290,Sacred Heart (NEC),29,11-18,344,449,0.77
229,Saint Francis (PA) (NEC),30,9-21,402,463,0.87
73,Saint Joseph's (Atlantic 10),33,11-22,412,363,1.13
127,Saint Louis (Atlantic 10),31,12-19,421,414,1.02
8,Saint Mary's (CA) (WCC),34,25-9,561,381,1.47
293,Saint Peter's (MAAC),34,20-14,383,511,0.75
46,Sam Houston (Southland),31,18-13,538,447,1.20
150,Samford (SoCon),31,12-19,409,418,0.98
34,San Diego St. (Mountain West),37,34-3,499,402,1.24
288,San Diego (WCC),30,6-24,338,440,0.77
228,San Francisco (WCC),34,19-15,430,493,0.87
78,San Jose St. (WAC),33,17-16,406,363,1.12
202,Santa Clara (WCC),38,24-14,487,532,0.92
315,Savannah St. (Savannah St.),30,12-18,316,448,0.71
84,Seton Hall (AAC),31,13-18,422,381,1.11
109,SFA (Southland),29,18-11,424,404,1.05
240,Siena (MAAC),31,13-18,378,444,0.85
139,SMU (C-USA),35,20-15,488,490,1.00
237,South Alabama (Sun Belt),28,12-16,341,396,0.86
302,South Carolina St. (MEAC),32,10-22,385,521,0.74
261,South Carolina (SEC),30,14-16,327,402,0.81
5,South Dakota St. (Summit League),31,19-12,471,308,1.53
257,South Fla. (AAC),33,10-23,407,496,0.82
