Rank,Team,W,L,Pct
255,UC Irvine (Big West),12,20,37.5
211,UC Riverside (Big West),14,17,45.2
82,UC Santa Barbara (Big West),20,11,64.5
69,UCF (C-USA),22,11,66.7
127,UCLA (Pac-12),19,14,57.6
118,UConn (AAC),20,14,58.8
300,UIC (Horizon),8,22,26.7
333,ULM (Sun Belt),3,26,10.3
330,UMBC (America East),4,26,13.3
309,UMES (MEAC),7,23,23.3
54,UNC Asheville (Big South),24,10,70.6
243,UNC Greensboro (SoCon),13,19,40.6
279,UNCW (CAA),10,21,32.3
118,UNI (MVC),20,14,58.8
37,UNLV (Mountain West),26,9,74.3
96,USC Upstate (ASUN),21,13,61.8
43,UT Arlington (Southland),24,9,72.7
332,UT Martin (OVC),4,27,12.9
133,Utah St. (WAC),21,16,56.8
108,Utah Valley (GWC),20,13,60.6
318,Utah (Pac-12),6,25,19.4
200,UTEP (C-USA),15,17,46.9
273,UTRGV (GWC),11,21,34.4
135,UTSA (Southland),18,14,56.3
78,Valparaiso (Horizon),22,12,64.7
62,Vanderbilt (SEC),25,11,69.4
12,VCU (CAA),29,7,80.6
69,Vermont (America East),24,12,66.7
243,Villanova (AAC),13,19,40.6
190,Virginia Tech (ACC),16,17,48.5
63,Virginia (ACC),22,10,68.8
168,VMI (Big South),17,16,51.5
11,Wagner (NEC),25,6,80.6
231,Wake Forest (ACC),13,18,41.9
172,Washington St. (Pac-12),19,18,51.4
65,Washington (Pac-12),24,11,68.6
24,Weber St. (Big Sky),25,7,78.1
127,West Virginia (AAC),19,14,57.6
189,Western Caro. (SoCon),17,18,48.6
147,Western Ill. (Summit League),18,15,54.5
207,Western Ky. (Sun Belt),16,19,45.7
241,Western Mich. (MAC),14,20,41.2
9,Wichita St. (MVC),27,6,81.8
319,William & Mary (CAA),6,26,18.8
255,Winthrop (Big South),12,20,37.5
47,Wisconsin (Big Ten),26,10,72.2
127,Wofford (SoCon),19,14,57.6
243,Wright St. (Horizon),13,19,40.6
85,Wyoming (Mountain West),21,12,63.6
84,Xavier (Atlantic 10),23,13,63.9
76,Yale (Ivy League),19,10,65.5
164,Youngstown St. (Horizon),16,15,51.6
