Rank,Team,GM,W-L,PTS,PPG
287,Central Mich. (MAC),32,11-21,"1,980",61.9
22,Charleston So. (Big South),31,19-12,"2,383",76.9
190,Charlotte (Atlantic 10),30,13-17,"2,010",67
108,Chattanooga (SoCon),32,11-21,"2,260",70.6
272,Chicago St. (GWC),30,4-26,"1,884",62.8
169,Cincinnati (AAC),37,26-11,"2,522",68.2
248,Clemson (ACC),31,16-15,"2,001",64.5
210,Cleveland St. (Horizon),33,22-11,"2,177",66
66,Coastal Carolina (Big South),31,19-12,"2,248",72.5
103,Col. of Charleston (SoCon),31,19-12,"2,191",70.7
268,Colgate (Patriot),30,8-22,"1,893",63.1
118,Colorado St. (Mountain West),32,20-12,"2,243",70.1
185,Colorado (Pac-12),36,24-12,"2,429",67.5
232,Columbia (Ivy League),30,15-15,"1,955",65.2
43,Coppin St. (MEAC),30,14-16,"2,213",73.8
224,Cornell (Ivy League),28,12-16,"1,833",65.5
9,Creighton (MVC),35,29-6,"2,772",79.2
161,CSU Bakersfield (Independent),31,16-15,"2,121",68.4
170,CSUN (Big West),28,7-21,"1,908",68.1
329,Dartmouth (Ivy League),30,5-25,"1,727",57.6
14,Davidson (SoCon),33,25-8,"2,571",77.9
82,Dayton (Atlantic 10),33,20-13,"2,369",71.8
208,Delaware St. (MEAC),29,15-14,"1,917",66.1
145,Delaware (CAA),32,18-14,"2,206",68.9
173,Denver (Sun Belt),31,22-9,"2,112",68.1
38,DePaul (AAC),31,12-19,"2,298",74.1
74,Detroit Mercy (Horizon),36,22-14,"2,597",72.1
189,Drake (MVC),34,18-16,"2,279",67
230,Drexel (CAA),36,29-7,"2,350",65.3
16,Duke (ACC),34,27-7,"2,628",77.3
63,Duquesne (Atlantic 10),31,16-15,"2,252",72.6
146,East Carolina (C-USA),31,15-16,"2,136",68.9
226,Eastern Ill. (OVC),29,12-17,"1,896",65.4
204,Eastern Ky. (OVC),32,16-16,"2,123",66.3
336,Eastern Mich. (MAC),32,14-18,"1,704",53.3
61,Eastern Wash. (Big Sky),32,15-17,"2,326",72.7
117,Elon (SoCon),31,15-16,"2,175",70.2
179,ETSU (ASUN),31,17-14,"2,098",67.7
47,Evansville (MVC),32,16-16,"2,351",73.5
229,Fairfield (MAAC),37,22-15,"2,417",65.3
305,Fairleigh Dickinson (NEC),29,3-26,"1,762",60.8
75,FGCU (ASUN),32,15-17,"2,306",72.1
264,FIU (Sun Belt),29,8-21,"1,836",63.3
213,Fla. Atlantic (Sun Belt),30,11-19,"1,977",65.9
212,Florida A&M (MEAC),33,10-23,"2,175",65.9
126,Florida St. (ACC),35,25-10,"2,443",69.8
27,Florida (SEC),37,26-11,"2,808",75.9
285,Fordham (Atlantic 10),29,10-19,"1,797",62
216,Fresno St. (WAC),33,13-20,"2,170",65.8
243,Furman (SoCon),31,15-16,"2,006",64.7
197,Ga. Southern (SoCon),30,15-15,"2,002",66.7
218,Gardner-Webb (Big South),32,12-20,"2,103",65.7
111,George Mason (CAA),33,24-9,"2,323",70.4
284,George Washington (Atlantic 10),31,10-21,"1,921",62
139,Georgetown (AAC),33,24-9,"2,278",69
181,Georgia St. (CAA),34,22-12,"2,298",67.6
313,Georgia Tech (ACC),31,11-20,"1,866",60.2
301,Georgia (SEC),32,15-17,"1,950",60.9
42,Gonzaga (WCC),33,26-7,"2,436",73.8
335,Grambling (SWAC),28,4-24,"1,513",54
250,Green Bay (Horizon),30,15-15,"1,935",64.5
245,Hampton (MEAC),33,12-21,"2,134",64.7
314,Hartford (America East),31,9-22,"1,860",60
220,Harvard (Ivy League),31,26-5,"2,033",65.6
44,Hawaii (WAC),32,16-16,"2,356",73.6
95,High Point (Big South),31,13-18,"2,203",71.1
228,Hofstra (CAA),32,10-22,"2,091",65.3
235,Holy Cross (Patriot),29,15-14,"1,886",65
45,Houston Baptist (GWC),30,10-20,"2,208",73.6
83,Houston (C-USA),30,15-15,"2,152",71.7
307,Howard (MEAC),31,10-21,"1,881",60.7
211,Idaho St. (Big Sky),30,9-21,"1,979",66
131,Idaho (WAC),33,19-14,"2,298",69.6
129,Illinois St. (MVC),35,21-14,"2,439",69.7
221,Illinois (Big Ten),32,17-15,"2,098",65.6
253,Indiana St. (MVC),33,18-15,"2,120",64.2
18,Indiana (Big Ten),36,27-9,"2,782",77.3
1,Iona (MAAC),33,25-8,"2,736",82.9
51,Iowa St. (Big 12),34,23-11,"2,490",73.2
55,Iowa (Big Ten),35,18-17,"2,555",73
67,IUPUI (Summit League),32,14-18,"2,319",72.5
332,Jackson St. (SWAC),31,7-24,"1,737",56
239,Jacksonville St. (OVC),33,15-18,"2,143",64.9
236,Jacksonville (ASUN),30,8-22,"1,951",65
209,James Madison (CAA),32,12-20,"2,115",66.1
251,Kansas City (Summit League),31,10-21,"1,998",64.5
97,Kansas St. (Big 12),33,22-11,"2,343",71
48,Kansas (Big 12),39,32-7,"2,865",73.5
286,Kennesaw St. (ASUN),31,3-28,"1,920",61.9
112,Kent St. (MAC),33,21-12,"2,322",70.4
15,Kentucky (SEC),40,38-2,"3,095",77.4
59,La Salle (Atlantic 10),34,21-13,"2,478",72.9
128,Lafayette (Patriot),31,13-18,"2,161",69.7
46,Lamar University (Southland),35,23-12,"2,573",73.5
28,Lehigh (Patriot),35,27-8,"2,648",75.7
149,Liberty (Big South),32,14-18,"2,201",68.8
70,Lipscomb (ASUN),31,13-18,"2,242",72.3
260,Little Rock (Sun Belt),31,15-16,"1,974",63.7
2,LIU (NEC),34,25-9,"2,769",81.4
105,LMU (CA) (WCC),34,21-13,"2,402",70.6
41,Long Beach St. (Big West),34,25-9,"2,510",73.8
49,Longwood (Independent),31,10-21,"2,276",73.4
135,Louisiana Tech (WAC),34,18-16,"2,358",69.4
163,Louisiana (Sun Belt),32,16-16,"2,189",68.4
168,Louisville (AAC),40,30-10,"2,727",68.2
330,Loyola Chicago (Horizon),30,7-23,"1,717",57.2
186,Loyola Maryland (MAAC),33,24-9,"2,222",67.3
227,LSU (SEC),33,18-15,"2,157",65.4
157,Maine (America East),29,12-17,"1,989",68.6
91,Manhattan (MAAC),34,21-13,"2,420",71.2
175,Marist (MAAC),32,14-18,"2,176",68
31,Marquette (AAC),35,27-8,"2,638",75.4
107,Marshall (C-USA),35,21-14,"2,472",70.6
153,Maryland (ACC),32,17-15,"2,198",68.7
20,Massachusetts (Atlantic 10),37,25-12,"2,847",76.9
195,McNeese (Southland),33,17-16,"2,207",66.9
36,Memphis (C-USA),35,26-9,"2,614",74.7
172,Mercer (ASUN),38,27-11,"2,589",68.1
104,Miami (FL) (ACC),33,20-13,"2,332",70.7
306,Miami (OH) (MAC),30,9-21,"1,821",60.7
85,Michigan St. (Big Ten),37,29-8,"2,651",71.6
205,Michigan (Big Ten),34,24-10,"2,255",66.3
69,Middle Tenn. (Sun Belt),34,27-7,"2,459",72.3
254,Milwaukee (Horizon),34,20-14,"2,183",64.2
180,Minnesota (Big Ten),38,23-15,"2,569",67.6
77,Mississippi St. (SEC),33,21-12,"2,377",72
155,Mississippi Val. (SWAC),34,21-13,"2,332",68.6
214,Missouri St. (MVC),32,16-16,"2,108",65.9
6,Missouri (Big 12),35,30-5,"2,814",80.4
196,Monmouth (NEC),32,12-20,"2,140",66.9
119,Montana St. (Big Sky),29,12-17,"2,030",70
121,Montana (Big Sky),32,25-7,"2,239",70
273,Morehead St. (OVC),33,18-15,"2,070",62.7
199,Morgan St. (MEAC),29,9-20,"1,934",66.7
312,Mount St. Mary's (NEC),29,8-21,"1,748",60.3
54,Murray St. (OVC),33,31-2,"2,412",73.1
123,N.C. A&T (MEAC),32,12-20,"2,236",69.9
101,N.C. Central (MEAC),32,17-15,"2,263",70.7
328,Navy (Patriot),29,3-26,"1,678",57.9
58,NC State (ACC),37,24-13,"2,697",72.9
302,Nebraska (Big Ten),30,12-18,"1,827",60.9
114,Nevada (WAC),35,28-7,"2,461",70.3
296,New Hampshire (America East),29,13-16,"1,774",61.2
11,New Mexico St. (WAC),36,26-10,"2,812",78.1
60,New Mexico (Mountain West),35,28-7,"2,545",72.7
112,Niagara (MAAC),33,14-19,"2,322",70.4
206,Nicholls (Southland),30,10-20,"1,989",66.3
123,NJIT (GWC),32,15-17,"2,236",69.9
144,Norfolk St. (MEAC),36,26-10,"2,482",68.9
3,North Carolina (ACC),38,32-6,"3,091",81.3
52,North Dakota St. (Summit League),31,17-14,"2,267",73.1
177,North Florida (ASUN),32,16-16,"2,168",67.8
115,North Texas (Sun Belt),32,18-14,"2,250",70.3
278,Northeastern (CAA),31,14-17,"1,941",62.6
282,Northern Ariz. (Big Sky),29,5-24,"1,804",62.2
68,Northern Colo. (Big Sky),28,9-19,"2,026",72.4
334,Northern Ill. (MAC),31,5-26,"1,716",55.4
109,Northwestern St. (Southland),32,16-16,"2,259",70.6
136,Northwestern (Big Ten),33,19-14,"2,286",69.3
203,Notre Dame (AAC),34,22-12,"2,257",66.4
7,Oakland (Summit League),36,20-16,"2,875",79.9
35,Ohio St. (Big Ten),39,31-8,"2,913",74.7
116,Ohio (MAC),37,29-8,"2,597",70.2
192,Oklahoma St. (Big 12),33,15-18,"2,209",66.9
138,Oklahoma (Big 12),31,15-16,"2,142",69.1
215,Old Dominion (CAA),36,22-14,"2,368",65.8
193,Ole Miss (SEC),34,20-14,"2,275",66.9
65,Oral Roberts (Summit League),34,27-7,"2,467",72.6
10,Oregon St. (Pac-12),36,21-15,"2,841",78.9
37,Oregon (Pac-12),34,24-10,"2,527",74.3
271,Pacific (Big West),30,11-19,"1,888",62.9
288,Penn St. (Big Ten),32,12-20,"1,977",61.8
237,Penn (Ivy League),33,20-13,"2,146",65
322,Pepperdine (WCC),29,10-19,"1,719",59.3
141,Pittsburgh (AAC),39,22-17,"2,692",69
26,Portland St. (Big Sky),32,17-15,"2,438",76.2
233,Portland (WCC),31,7-24,"2,018",65.1
269,Prairie View (SWAC),32,14-18,"2,016",63
194,Princeton (Ivy League),32,20-12,"2,141",66.9
148,Providence (AAC),32,15-17,"2,203",68.8
119,Purdue Fort Wayne (Summit League),30,11-19,"2,100",70
80,Purdue (Big Ten),35,22-13,"2,514",71.8
98,Quinnipiac (NEC),32,18-14,"2,271",71
295,Radford (Big South),32,6-26,"1,959",61.2
158,Rhode Island (Atlantic 10),31,7-24,"2,126",68.6
130,Rice (C-USA),35,19-16,"2,438",69.7
142,Richmond (Atlantic 10),32,16-16,"2,207",69
86,Rider (MAAC),32,13-19,"2,291",71.6
160,Robert Morris (NEC),37,26-11,"2,532",68.4
223,Rutgers (AAC),32,14-18,"2,095",65.5
191,Sacramento St. (Big Sky),28,10-18,"1,875",67
92,Sacred Heart (NEC),32,14-18,"2,277",71.2
304,Saint Francis (PA) (NEC),29,6-23,"1,763",60.8
78,Saint Joseph's (Atlantic 10),34,20-14,"2,446",71.9
151,Saint Louis (Atlantic 10),34,26-8,"2,336",68.7
33,Saint Mary's (CA) (WCC),33,27-6,"2,467",74.8
326,Saint Peter's (MAAC),31,5-26,"1,799",58
324,Sam Houston (Southland),32,13-19,"1,875",58.6
207,Samford (SoCon),30,11-19,"1,984",66.1
96,San Diego St. (Mountain West),34,26-8,"2,416",71.1
188,San Diego (WCC),31,13-18,"2,079",67.1
30,San Francisco (WCC),34,20-14,"2,563",75.4
178,San Jose St. (WAC),31,9-22,"2,099",67.7
132,Santa Clara (WCC),30,8-22,"2,085",69.5
265,Savannah St. (MEAC),33,21-12,"2,089",63.3
164,Seton Hall (AAC),34,21-13,"2,324",68.4
290,SFA (Southland),32,20-12,"1,970",61.6
259,Siena (MAAC),31,14-17,"1,975",63.7
316,SMU (C-USA),32,13-19,"1,909",59.7
198,South Alabama (Sun Belt),29,17-12,"1,935",66.7
248,South Carolina St. (MEAC),31,5-26,"2,001",64.5
293,South Carolina (SEC),31,10-21,"1,903",61.4
23,South Dakota St. (Summit League),35,27-8,"2,689",76.8
321,South Fla. (AAC),36,22-14,"2,134",59.3
102,Southeast Mo. St. (OVC),31,15-16,"2,192",70.7
315,Southeastern La. (Southland),29,12-17,"1,738",59.9
337,Southern California (Pac-12),32,6-26,"1,683",52.6
274,Southern Ill. (MVC),31,8-23,"1,944",62.7
88,Southern Miss. (C-USA),34,25-9,"2,426",71.4
308,Southern U. (SWAC),31,17-14,"1,879",60.6
217,Southern Utah (Summit League),31,14-17,"2,038",65.7
110,St. Bonaventure (Atlantic 10),32,20-12,"2,254",70.4
134,St. Francis Brooklyn (NEC),30,15-15,"2,084",69.5
200,St. John's (NY) (AAC),32,13-19,"2,129",66.5
81,Stanford (Pac-12),37,26-11,"2,657",71.8
76,Stetson (ASUN),29,9-20,"2,089",72
201,Stony Brook (America East),32,22-10,"2,125",66.4
40,Syracuse (AAC),37,34-3,"2,740",74.1
72,TCU (Mountain West),33,18-15,"2,382",72.2
32,Temple (Atlantic 10),32,24-8,"2,401",75
167,Tennessee St. (OVC),33,20-13,"2,250",68.2
84,Tennessee Tech (OVC),33,19-14,"2,365",71.7
150,Tennessee (SEC),34,19-15,"2,338",68.8
297,Texas A&M (Big 12),32,14-18,"1,956",61.1
294,Texas Southern (SWAC),33,15-18,"2,021",61.2
24,Texas St. (Southland),30,13-17,"2,292",76.4
318,Texas Tech (Big 12),31,8-23,"1,844",59.5
62,Texas (Big 12),34,20-14,"2,470",72.6
255,The Citadel (SoCon),30,6-24,"1,925",64.2
132,Toledo (MAC),36,19-17,"2,502",69.5
338,Towson (CAA),32,1-31,"1,647",51.5
90,Troy (Sun Belt),28,10-18,"1,996",71.3
247,Tulane (C-USA),31,15-16,"2,002",64.6
184,Tulsa (C-USA),31,17-14,"2,093",67.5
309,UAB (C-USA),31,15-16,"1,875",60.5
283,UC Davis (Big West),31,5-26,"1,924",62.1
174,UC Irvine (Big West),32,12-20,"2,179",68.1
319,UC Riverside (Big West),31,14-17,"1,841",59.4
56,UC Santa Barbara (Big West),31,20-11,"2,262",73
219,UCF (C-USA),33,22-11,"2,166",65.6
159,UCLA (Pac-12),33,19-14,"2,263",68.6
151,UConn (AAC),34,20-14,"2,336",68.7
303,UIC (Horizon),30,8-22,"1,826",60.9
310,ULM (Sun Belt),29,3-26,"1,750",60.3
266,UMBC (America East),30,4-26,"1,897",63.2
317,UMES (MEAC),30,7-23,"1,785",59.5
5,UNC Asheville (Big South),34,24-10,"2,745",80.7
127,UNC Greensboro (SoCon),32,13-19,"2,231",69.7
240,UNCW (CAA),31,10-21,"2,013",64.9
231,UNI (MVC),34,20-14,"2,216",65.2
25,UNLV (Mountain West),35,26-9,"2,671",76.3
88,USC Upstate (ASUN),34,21-13,"2,426",71.4
21,UT Arlington (Southland),33,24-9,"2,537",76.9
275,UT Martin (OVC),31,4-27,"1,943",62.7
143,Utah St. (WAC),37,21-16,"2,551",68.9
125,Utah Valley (GWC),33,20-13,"2,305",69.8
333,Utah (Pac-12),31,6-25,"1,720",55.5
267,UTEP (C-USA),32,15-17,"2,021",63.2
281,UTRGV (GWC),32,11-21,"1,993",62.3
53,UTSA (Southland),32,18-14,"2,339",73.1
166,Valparaiso (Horizon),34,22-12,"2,323",68.3
64,Vanderbilt (SEC),36,25-11,"2,615",72.6
175,VCU (CAA),36,29-7,"2,448",68
187,Vermont (America East),36,24-12,"2,415",67.1
100,Villanova (AAC),32,13-19,"2,266",70.8
234,Virginia Tech (ACC),33,16-17,"2,147",65.1
280,Virginia (ACC),32,22-10,"2,000",62.5
8,VMI (Big South),33,17-16,"2,631",79.7
50,Wagner (NEC),31,25-6,"2,275",73.4
225,Wake Forest (ACC),31,13-18,"2,029",65.5
171,Washington St. (Pac-12),37,19-18,"2,521",68.1
29,Washington (Pac-12),35,24-11,"2,646",75.6
17,Weber St. (Big Sky),32,25-7,"2,473",77.3
94,West Virginia (AAC),33,19-14,"2,346",71.1
87,Western Caro. (SoCon),35,17-18,"2,503",71.5
291,Western Ill. (Summit League),33,18-15,"2,031",61.5
241,Western Ky. (Sun Belt),35,16-19,"2,272",64.9
155,Western Mich. (MAC),34,14-20,"2,332",68.6
19,Wichita St. (MVC),33,27-6,"2,545",77.1
311,William & Mary (CAA),32,6-26,"1,931",60.3
261,Winthrop (Big South),32,12-20,"2,035",63.6
256,Wisconsin (Big Ten),36,26-10,"2,304",64
257,Wofford (SoCon),33,19-14,"2,110",63.9
327,Wright St. (Horizon),32,13-19,"1,857",58
276,Wyoming (Mountain West),33,21-12,"2,068",62.7
106,Xavier (Atlantic 10),36,23-13,"2,543",70.6
154,Yale (Ivy League),29,19-10,"1,991",68.7
182,Youngstown St. (Horizon),31,16-15,"2,095",67.6
