Rank,Team,GM,W-L,OPP PTS,OPP PPG
218,Oklahoma (Big 12),31,15-16,"2,123",68.5
50,Old Dominion (CAA),36,22-14,"2,234",62.1
147,Ole Miss (SEC),34,20-14,"2,250",66.2
129,Oral Roberts (Summit League),34,27-7,"2,238",65.8
297,Oregon St. (Pac-12),36,21-15,"2,617",72.7
224,Oregon (Pac-12),34,24-10,"2,341",68.9
183,Pacific (Big West),30,11-19,"2,022",67.4
127,Penn St. (Big Ten),32,12-20,"2,106",65.8
83,Penn (Ivy League),33,20-13,"2,106",63.8
133,Pepperdine (WCC),29,10-19,"1,911",65.9
122,Pittsburgh (AAC),39,22-17,"2,554",65.5
305,Portland St. (Big Sky),32,17-15,"2,345",73.3
325,Portland (WCC),31,7-24,"2,357",76
126,Prairie View (SWAC),32,14-18,"2,101",65.7
56,Princeton (Ivy League),32,20-12,"1,999",62.5
233,Providence (AAC),32,15-17,"2,216",69.3
313,Purdue Fort Wayne (Summit League),30,11-19,"2,242",74.7
137,Purdue (Big Ten),35,22-13,"2,310",66
175,Quinnipiac (NEC),32,18-14,"2,150",67.2
221,Radford (Big South),32,6-26,"2,195",68.6
321,Rhode Island (Atlantic 10),31,7-24,"2,339",75.5
155,Rice (C-USA),35,19-16,"2,322",66.3
174,Richmond (Atlantic 10),32,16-16,"2,149",67.2
311,Rider (MAAC),32,13-19,"2,387",74.6
78,Robert Morris (NEC),37,26-11,"2,348",63.5
127,Rutgers (AAC),32,14-18,"2,106",65.8
230,Sacramento St. (Big Sky),28,10-18,"1,936",69.1
291,Sacred Heart (NEC),32,14-18,"2,319",72.5
240,Saint Francis (PA) (NEC),29,6-23,"2,017",69.6
201,Saint Joseph's (Atlantic 10),34,20-14,"2,310",67.9
8,Saint Louis (Atlantic 10),34,26-8,"1,960",57.6
61,Saint Mary's (CA) (WCC),33,27-6,"2,068",62.7
227,Saint Peter's (MAAC),31,5-26,"2,138",69
28,Sam Houston (Southland),32,13-19,"1,941",60.7
247,Samford (SoCon),30,11-19,"2,092",69.7
82,San Diego St. (Mountain West),34,26-8,"2,166",63.7
259,San Diego (WCC),31,13-18,"2,179",70.3
269,San Francisco (WCC),34,20-14,"2,415",71
302,San Jose St. (WAC),31,9-22,"2,261",72.9
315,Santa Clara (WCC),30,8-22,"2,245",74.8
12,Savannah St. (MEAC),33,21-12,"1,949",59.1
85,Seton Hall (AAC),34,21-13,"2,170",63.8
3,SFA (Southland),32,20-12,"1,741",54.4
159,Siena (MAAC),31,14-17,"2,061",66.5
20,SMU (C-USA),32,13-19,"1,922",60.1
173,South Alabama (Sun Belt),29,17-12,"1,947",67.1
330,South Carolina St. (MEAC),31,5-26,"2,391",77.1
108,South Carolina (SEC),31,10-21,"2,015",65
161,South Dakota St. (Summit League),35,27-8,"2,329",66.5
7,South Fla. (AAC),36,22-14,"2,037",56.6
251,Southeast Mo. St. (OVC),31,15-16,"2,170",70
46,Southeastern La. (Southland),29,12-17,"1,795",61.9
17,Southern California (Pac-12),32,6-26,"1,910",59.7
232,Southern Ill. (MVC),31,8-23,"2,144",69.2
112,Southern Miss. (C-USA),34,25-9,"2,212",65.1
86,Southern U. (SWAC),31,17-14,"1,981",63.9
200,Southern Utah (Summit League),31,14-17,"2,106",67.9
110,St. Bonaventure (Atlantic 10),32,20-12,"2,081",65
223,St. Francis Brooklyn (NEC),30,15-15,"2,062",68.7
268,St. John's (NY) (AAC),32,13-19,"2,268",70.9
75,Stanford (Pac-12),37,26-11,"2,337",63.2
334,Stetson (ASUN),29,9-20,"2,275",78.4
13,Stony Brook (America East),32,22-10,"1,892",59.1
32,Syracuse (AAC),37,34-3,"2,257",61
286,TCU (Mountain West),33,18-15,"2,379",72.1
239,Temple (Atlantic 10),32,24-8,"2,225",69.5
162,Tennessee St. (OVC),33,20-13,"2,199",66.6
276,Tennessee Tech (OVC),33,19-14,"2,357",71.4
115,Tennessee (SEC),34,19-15,"2,216",65.2
39,Texas A&M (Big 12),32,14-18,"1,968",61.5
64,Texas Southern (SWAC),33,15-18,"2,073",62.8
314,Texas St. (Southland),30,13-17,"2,243",74.8
207,Texas Tech (Big 12),31,8-23,"2,114",68.2
165,Texas (Big 12),34,20-14,"2,270",66.8
282,The Citadel (SoCon),30,6-24,"2,158",71.9
150,Toledo (MAC),36,19-17,"2,385",66.3
245,Towson (CAA),32,1-31,"2,231",69.7
324,Troy (Sun Belt),28,10-18,"2,122",75.8
42,Tulane (C-USA),31,15-16,"1,910",61.6
100,Tulsa (C-USA),31,17-14,"2,001",64.5
41,UAB (C-USA),31,15-16,"1,907",61.5
310,UC Davis (Big West),31,5-26,"2,307",74.4
287,UC Irvine (Big West),32,12-20,"2,309",72.2
71,UC Riverside (Big West),31,14-17,"1,954",63
157,UC Santa Barbara (Big West),31,20-11,"2,059",66.4
80,UCF (C-USA),33,22-11,"2,096",63.5
57,UCLA (Pac-12),33,19-14,"2,063",62.5
99,UConn (AAC),34,20-14,"2,193",64.5
195,UIC (Horizon),30,8-22,"2,033",67.8
280,ULM (Sun Belt),29,3-26,"2,078",71.7
328,UMBC (America East),30,4-26,"2,312",77.1
260,UMES (MEAC),30,7-23,"2,109",70.3
274,UNC Asheville (Big South),34,24-10,"2,426",71.4
327,UNC Greensboro (SoCon),32,13-19,"2,457",76.8
264,UNCW (CAA),31,10-21,"2,189",70.6
47,UNI (MVC),34,20-14,"2,106",61.9
135,UNLV (Mountain West),35,26-9,"2,307",65.9
210,USC Upstate (ASUN),34,21-13,"2,321",68.3
190,UT Arlington (Southland),33,24-9,"2,232",67.6
317,UT Martin (OVC),31,4-27,"2,327",75.1
103,Utah St. (WAC),37,21-16,"2,400",64.9
156,Utah Valley (GWC),33,20-13,"2,190",66.4
244,Utah (Pac-12),31,6-25,"2,161",69.7
73,UTEP (C-USA),32,15-17,"2,019",63.1
220,UTRGV (GWC),32,11-21,"2,194",68.6
193,UTSA (Southland),32,18-14,"2,168",67.8
119,Valparaiso (Horizon),34,22-12,"2,223",65.4
106,Vanderbilt (SEC),36,25-11,"2,339",65
19,VCU (CAA),36,29-7,"2,154",59.8
31,Vermont (America East),36,24-12,"2,193",60.9
263,Villanova (AAC),32,13-19,"2,258",70.6
53,Virginia Tech (ACC),33,16-17,"2,057",62.3
2,Virginia (ACC),32,22-10,"1,735",54.2
336,VMI (Big South),33,17-16,"2,660",80.6
96,Wagner (NEC),31,25-6,"1,993",64.3
261,Wake Forest (ACC),31,13-18,"2,182",70.4
120,Washington St. (Pac-12),37,19-18,"2,421",65.4
252,Washington (Pac-12),35,24-11,"2,453",70.1
229,Weber St. (Big Sky),32,25-7,"2,210",69.1
160,West Virginia (AAC),33,19-14,"2,194",66.5
257,Western Caro. (SoCon),35,17-18,"2,459",70.3
22,Western Ill. (Summit League),33,18-15,"1,985",60.2
204,Western Ky. (Sun Belt),35,16-19,"2,383",68.1
249,Western Mich. (MAC),34,14-20,"2,375",69.9
54,Wichita St. (MVC),33,27-6,"2,060",62.4
235,William & Mary (CAA),32,6-26,"2,220",69.4
137,Winthrop (Big South),32,12-20,"2,112",66
1,Wisconsin (Big Ten),36,26-10,"1,915",53.2
77,Wofford (SoCon),33,19-14,"2,087",63.2
37,Wright St. (Horizon),32,13-19,"1,967",61.5
6,Wyoming (Mountain West),33,21-12,"1,855",56.2
180,Xavier (Atlantic 10),36,23-13,"2,422",67.3
101,Yale (Ivy League),29,19-10,"1,878",64.8
141,Youngstown St. (Horizon),31,16-15,"2,047",66
